Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,JPASSOCIAT,EQ,146.85,147.9,154.9,144.6,153.9,153.75,150.96,12914957,194964235775000.0,50039.61793826441,4358146,0.33740000000000003
2010-01-05,JPASSOCIAT,EQ,153.75,155.5,163.75,154.5,163.5,163.2,160.45,22972757,368592218075000.0,50039.61793826441,9632771,0.4193
2010-01-06,JPASSOCIAT,EQ,163.2,164.1,164.9,159.05,160.75,160.35,161.14,12633083,203563302120000.0,50039.61793826441,5159690,0.40840000000000004
2010-01-07,JPASSOCIAT,EQ,160.35,160.4,161.0,155.0,158.95,158.7,157.41,12999387,204619288010000.0,50039.61793826441,4617683,0.3552
2010-01-08,JPASSOCIAT,EQ,158.7,160.0,163.9,158.65,162.4,162.0,162.33,11374709,184647521115000.0,50039.61793826441,4048612,0.35590000000000005
2010-01-11,JPASSOCIAT,EQ,162.0,163.0,166.5,162.8,165.7,165.3,164.95,9476529,156319888905000.0,50039.61793826441,3823061,0.40340000000000004
2010-01-12,JPASSOCIAT,EQ,165.3,165.1,166.4,159.6,161.95,161.65,163.29,9205772,150317856655000.0,50039.61793826441,3783763,0.41100000000000003
2010-01-13,JPASSOCIAT,EQ,161.65,161.0,164.25,157.3,163.9,163.8,160.98,9481888,152639616980000.0,50039.61793826441,2412814,0.2545
2010-01-14,JPASSOCIAT,EQ,163.8,165.0,167.8,163.3,165.1,164.75,165.56,8716504,144309014130000.0,50039.61793826441,3483298,0.3996
2010-01-15,JPASSOCIAT,EQ,164.75,166.0,166.0,162.2,164.65,163.9,163.69,8231829,134744942570000.0,50039.61793826441,3497466,0.42490000000000006
2010-01-18,JPASSOCIAT,EQ,163.9,165.8,167.65,159.5,163.05,163.2,164.02,13688766,224524977194999.97,50039.61793826441,4224093,0.3086
2010-01-19,JPASSOCIAT,EQ,163.2,164.5,165.7,159.5,160.05,160.35,162.26,8175927,132665734100000.0,50039.61793826441,3026784,0.37020000000000003
2010-01-20,JPASSOCIAT,EQ,160.35,161.1,164.1,153.1,155.35,155.4,156.61,10448017,163623954565000.0,50039.61793826441,4307175,0.4122
2010-01-21,JPASSOCIAT,EQ,155.4,156.0,156.5,150.15,151.0,150.8,153.12,10148491,155397178225000.0,50039.61793826441,4037452,0.39780000000000004
2010-01-22,JPASSOCIAT,EQ,150.8,148.0,151.0,144.15,147.0,146.75,147.27,14413365,212266577795000.0,50039.61793826441,5211150,0.3615
2010-01-25,JPASSOCIAT,EQ,146.75,147.0,147.5,141.3,141.55,141.85,143.19,13143407,188197994765000.0,50039.61793826441,6302715,0.47950000000000004
2010-01-27,JPASSOCIAT,EQ,141.85,140.5,142.9,135.55,136.8,137.1,139.45,13315773,185694339320000.0,50039.61793826441,4410694,0.3312
2010-01-28,JPASSOCIAT,EQ,137.1,137.2,141.0,133.1,134.65,134.55,136.13,13721044,186784606255000.0,50039.61793826441,5609778,0.40880000000000005
2010-01-29,JPASSOCIAT,EQ,134.55,132.45,139.0,128.1,137.0,137.8,133.09,15614558,207821520690000.0,50039.61793826441,5247671,0.3361
2010-02-01,JPASSOCIAT,EQ,137.8,136.0,142.0,133.0,139.85,140.4,138.87,12521031,173880687005000.0,50039.61793826441,2839849,0.2268
2010-02-02,JPASSOCIAT,EQ,140.4,142.5,143.2,134.6,135.1,135.4,138.88,13991420,194309553035000.0,50039.61793826441,5533610,0.39549999999999996
2010-02-03,JPASSOCIAT,EQ,135.4,137.7,138.9,136.2,137.4,137.4,137.68,6320242,87019391530000.0,50039.61793826441,1789802,0.2832
2010-02-04,JPASSOCIAT,EQ,137.4,136.0,136.5,130.55,131.3,131.2,133.21,9626276,128229786570000.0,50039.61793826441,2804022,0.2913
2010-02-05,JPASSOCIAT,EQ,131.2,124.1,128.0,122.05,124.9,124.8,124.99,21075115,263424522985000.0,50039.61793826441,8459443,0.40140000000000003
2010-02-06,JPASSOCIAT,EQ,124.8,125.5,129.0,125.5,128.75,128.0,127.57,1624992,20729407585000.0,50039.61793826441,520075,0.32
2010-02-08,JPASSOCIAT,EQ,128.0,127.8,130.95,123.25,126.2,126.15,127.43,15787033,201166753605000.0,50039.61793826441,4493689,0.2846
2010-02-09,JPASSOCIAT,EQ,126.15,126.9,128.45,125.0,127.4,127.55,127.28,12866242,163759897210000.0,50039.61793826441,4963452,0.3858
2010-02-10,JPASSOCIAT,EQ,127.55,128.5,132.0,127.1,129.9,128.4,129.99,12622967,164082052135000.0,50039.61793826441,3388334,0.2684
2010-02-11,JPASSOCIAT,EQ,128.4,130.3,133.35,130.3,132.95,132.65,132.19,11355335,150107918500000.0,50039.61793826441,4646470,0.4092
2010-02-15,JPASSOCIAT,EQ,132.65,134.0,134.9,130.9,133.25,132.6,133.05,8203127,109141718150000.0,50039.61793826441,2598133,0.31670000000000004
2010-02-16,JPASSOCIAT,EQ,132.6,133.0,137.2,131.5,135.9,135.9,134.81,9095374,122618717325000.0,50039.61793826441,3060201,0.33649999999999997
2010-02-17,JPASSOCIAT,EQ,135.9,137.0,139.9,137.0,138.45,138.4,138.62,14283128,197986345395000.0,50039.61793826441,7615946,0.5332
2010-02-18,JPASSOCIAT,EQ,138.4,138.9,138.9,134.2,135.55,135.9,136.01,5471247,74417161230000.0,50039.61793826441,1383417,0.2529
2010-02-19,JPASSOCIAT,EQ,135.9,133.5,134.7,128.85,129.5,129.8,130.95,9919101,129889273495000.0,50039.61793826441,3714774,0.37450000000000006
2010-02-22,JPASSOCIAT,EQ,129.8,132.4,135.4,131.0,131.45,131.85,133.33,10774686,143659653425000.0,50039.61793826441,3856405,0.3579
2010-02-23,JPASSOCIAT,EQ,131.85,131.7,133.5,129.85,132.85,132.6,132.36,5145482,68107674750000.0,50039.61793826441,957653,0.1861
2010-02-24,JPASSOCIAT,EQ,132.6,130.6,134.7,130.6,132.6,132.6,132.59,5965030,79087728915000.0,50039.61793826441,1918103,0.3216
2010-02-25,JPASSOCIAT,EQ,132.6,133.0,133.95,128.65,129.6,129.35,129.92,10724491,139330911005000.0,50039.61793826441,4775774,0.44530000000000003
2010-02-26,JPASSOCIAT,EQ,129.35,131.85,136.5,127.5,132.45,132.15,132.42,18912424,250434071730000.03,50039.61793826441,7583658,0.401
2010-03-02,JPASSOCIAT,EQ,132.15,133.85,138.0,133.65,137.9,137.1,135.58,8301977,112555369770000.0,50039.61793826441,3673471,0.4425
2010-03-03,JPASSOCIAT,EQ,137.1,138.5,146.5,137.8,145.15,145.5,142.83,15298670,218508939390000.0,50039.61793826441,5328129,0.3483
2010-03-04,JPASSOCIAT,EQ,145.5,149.1,149.1,141.55,143.5,144.0,144.05,13157104,189529232735000.0,50039.61793826441,3955395,0.3006
2010-03-05,JPASSOCIAT,EQ,144.0,144.1,147.5,144.0,146.0,146.25,145.97,8602980,125573715270000.0,50039.61793826441,2994222,0.348
2010-03-08,JPASSOCIAT,EQ,146.25,148.15,151.4,147.25,148.0,148.3,149.2,12258365,182894038310000.0,50039.61793826441,4096812,0.3342
2010-03-09,JPASSOCIAT,EQ,148.3,148.6,149.5,142.6,142.95,143.35,144.87,7750912,112286726420000.0,50039.61793826441,2284350,0.2947
2010-03-10,JPASSOCIAT,EQ,143.35,143.4,146.9,143.0,145.75,145.65,145.23,8396016,121935858705000.0,50039.61793826441,2367797,0.282
2010-03-11,JPASSOCIAT,EQ,145.65,145.5,148.0,143.8,146.7,146.5,146.27,9304054,136092007495000.0,50039.61793826441,2834634,0.30469999999999997
2010-03-12,JPASSOCIAT,EQ,146.5,146.0,147.8,144.2,145.5,145.45,145.5,6512120,94749525875000.0,50039.61793826441,2118394,0.32530000000000003
2010-03-15,JPASSOCIAT,EQ,145.45,144.45,149.4,143.95,148.85,148.7,147.1,11454864,168505084320000.0,50039.61793826441,4227938,0.3691
2010-03-16,JPASSOCIAT,EQ,148.7,149.0,150.0,146.55,148.15,148.15,147.8,7899228,116747929065000.02,50039.61793826441,2261849,0.2863
2010-03-17,JPASSOCIAT,EQ,148.15,149.5,152.0,147.4,148.8,148.35,150.04,11774819,176664873535000.0,50039.61793826441,3207809,0.2724
2010-03-18,JPASSOCIAT,EQ,148.35,148.5,152.9,148.5,152.15,152.15,151.33,10958168,165826643960000.0,50039.61793826441,3850046,0.35130000000000006
2010-03-19,JPASSOCIAT,EQ,152.15,152.25,154.7,152.05,152.75,153.4,153.67,8351547,128339776415000.02,50039.61793826441,2795576,0.3347
2010-03-22,JPASSOCIAT,EQ,153.4,150.5,150.95,122.75,146.0,146.6,148.57,9257202,137535208930000.0,50039.61793826441,3688185,0.39840000000000003
2010-03-23,JPASSOCIAT,EQ,146.6,147.1,149.5,146.3,147.5,147.75,148.13,7941758,117642582795000.0,50039.61793826441,2302503,0.2899
2010-03-25,JPASSOCIAT,EQ,147.75,147.3,151.3,147.1,150.65,150.65,149.67,12593003,188485263550000.0,50039.61793826441,6732743,0.5346000000000001
2010-03-26,JPASSOCIAT,EQ,150.65,151.0,152.35,149.0,150.55,150.6,150.72,6981143,105218010245000.0,50039.61793826441,2632397,0.3771
2010-03-29,JPASSOCIAT,EQ,150.6,153.0,153.0,149.55,151.3,150.5,150.41,5621607,84556637845000.0,50039.61793826441,1919531,0.34149999999999997
2010-03-30,JPASSOCIAT,EQ,150.5,151.0,153.5,149.65,150.6,150.45,151.95,7096446,107827342420000.0,50039.61793826441,2629932,0.37060000000000004
2010-03-31,JPASSOCIAT,EQ,150.45,150.55,151.7,148.5,149.8,149.55,149.83,6082833,91136274380000.0,50039.61793826441,2474580,0.4068
2010-04-01,JPASSOCIAT,EQ,149.55,150.85,154.7,150.0,154.65,153.65,152.6,5068884,77349488445000.0,50039.61793826441,1868114,0.3685
2010-04-05,JPASSOCIAT,EQ,153.65,154.65,156.45,152.2,154.6,154.6,154.44,6843093,105682857570000.0,50039.61793826441,1904443,0.2783
2010-04-06,JPASSOCIAT,EQ,154.6,156.0,156.5,151.7,152.0,152.35,152.82,7819797,119499507209999.98,50039.61793826441,3661957,0.4683
2010-04-07,JPASSOCIAT,EQ,152.35,153.0,154.4,150.0,150.85,150.95,152.04,7962828,121063377025000.0,50039.61793826441,2975600,0.3737
2010-04-08,JPASSOCIAT,EQ,150.95,149.8,151.6,147.1,148.0,148.35,149.34,8834556,131937287355000.0,50039.61793826441,3453045,0.3909
2010-04-09,JPASSOCIAT,EQ,148.35,149.35,153.3,149.0,151.7,151.85,151.6,9884126,149842261410000.0,50039.61793826441,4187982,0.42369999999999997
2010-04-12,JPASSOCIAT,EQ,151.85,152.0,152.5,148.6,150.5,150.15,149.96,6831280,102441419870000.0,50039.61793826441,2618467,0.3833
