Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-08-12,L&TFH,EQ,52.0,53.85,53.85,49.3,49.95,50.05,50.92,98188151,499964260270000.0,289733,26715996,0.2721
2011-08-16,L&TFH,EQ,50.05,50.9,51.3,49.0,49.2,49.3,50.09,12435359,62286437795000.01,52479,2678219,0.2154
2011-08-17,L&TFH,EQ,49.3,49.65,49.8,48.0,48.1,48.15,48.68,4804559,23386989670000.0,25250,1974927,0.4111
2011-08-18,L&TFH,EQ,48.15,48.15,48.5,46.15,46.2,46.3,46.97,4346287,20414815470000.0,25335,2198225,0.5058
2011-08-19,L&TFH,EQ,46.3,46.05,46.05,44.65,44.95,44.9,45.03,4196723,18897100440000.0,26094,1908730,0.4548
2011-08-22,L&TFH,EQ,44.9,45.0,45.4,44.4,44.6,44.7,44.76,3144678,14075755165000.0,16056,1499575,0.4769
2011-08-23,L&TFH,EQ,44.7,45.05,46.95,44.65,46.2,46.45,46.35,4208711,19507932020000.0,23616,1391028,0.33049999999999996
2011-08-24,L&TFH,EQ,46.45,46.4,48.2,46.0,47.3,47.25,47.53,3142285,14934615550000.0,20242,1003113,0.31920000000000004
2011-08-25,L&TFH,EQ,47.25,47.7,48.2,47.0,47.55,47.45,47.58,1740800,8283284534999.999,13253,660931,0.3797
2011-08-26,L&TFH,EQ,47.45,47.7,47.9,45.8,46.35,46.15,46.76,1769056,8272224440000.001,12774,780754,0.4413
2011-08-29,L&TFH,EQ,46.15,47.0,53.05,46.75,51.8,50.8,50.08,6213609,31118731389999.996,29166,2514928,0.4047
2011-08-30,L&TFH,EQ,50.8,52.5,52.8,49.25,49.8,49.8,51.08,10696584,54639588629999.99,52388,3762231,0.3517
2011-09-02,L&TFH,EQ,49.8,50.05,51.3,48.6,50.45,50.55,50.35,3811454,19189674720000.0,25438,1217932,0.3195
2011-09-05,L&TFH,EQ,50.55,50.0,52.0,49.55,51.4,51.5,51.25,5493057,28153211364999.996,30282,1946910,0.3544
2011-09-06,L&TFH,EQ,51.5,51.15,52.25,50.6,51.75,51.8,51.75,5941534,30748812955000.0,31681,2106012,0.35450000000000004
2011-09-07,L&TFH,EQ,51.8,52.0,52.7,51.35,52.15,52.1,52.18,5477769,28583831889999.996,24881,2606787,0.47590000000000005
2011-09-08,L&TFH,EQ,52.1,52.05,52.2,51.55,51.75,51.8,51.92,2291566,11897741455000.0,12896,1187076,0.518
2011-09-09,L&TFH,EQ,51.8,51.9,52.2,50.8,50.9,50.95,51.41,1657760,8522593409999.999,10457,693564,0.41840000000000005
2011-09-12,L&TFH,EQ,50.95,50.95,51.65,49.7,50.55,50.8,50.58,2943855,14890789785000.0,18445,752976,0.25579999999999997
2011-09-13,L&TFH,EQ,50.8,51.4,51.55,50.1,50.1,50.2,50.84,1345797,6842303330000.0,9617,556225,0.4133
2011-09-14,L&TFH,EQ,50.2,50.8,50.8,50.1,50.15,50.2,50.31,737756,3711602890000.0,6714,294049,0.3986
2011-09-15,L&TFH,EQ,50.2,50.6,51.1,50.1,50.1,50.25,50.38,956407,4818817915000.0,6764,399588,0.4178
2011-09-16,L&TFH,EQ,50.25,50.35,50.65,49.9,50.1,50.05,50.2,985457,4947299785000.0,7444,505518,0.513
2011-09-19,L&TFH,EQ,50.05,49.55,50.4,49.55,49.75,49.95,49.96,698587,3490095670000.0005,5268,379006,0.5425
2011-09-20,L&TFH,EQ,49.95,50.0,50.35,49.55,49.9,49.95,50.04,742380,3714792725000.0,6075,313122,0.4218
2011-09-21,L&TFH,EQ,49.95,50.0,51.0,49.9,50.5,50.55,50.61,1324373,6702750385000.0,12470,545241,0.4117
2011-09-22,L&TFH,EQ,50.55,50.0,50.3,49.0,49.1,49.1,49.62,1156544,5738977365000.0,9491,655143,0.5665
2011-09-23,L&TFH,EQ,49.1,48.75,49.15,47.75,48.6,48.55,48.46,1426707,6914272725000.0,11795,646077,0.45280000000000004
2011-09-26,L&TFH,EQ,48.55,48.5,49.05,47.2,47.6,47.7,47.88,1091743,5227114250000.0,9064,514689,0.47140000000000004
2011-09-27,L&TFH,EQ,47.7,48.4,49.25,48.15,49.0,49.05,48.91,1077459,5270183620000.0,9224,491169,0.4559
2011-09-28,L&TFH,EQ,49.05,49.3,49.45,48.8,49.2,49.05,49.12,620212,3046370895000.0,5501,275872,0.4448
2011-09-29,L&TFH,EQ,49.05,48.7,49.1,48.1,48.25,48.3,48.58,667839,3244169130000.0,5619,369183,0.5528000000000001
2011-09-30,L&TFH,EQ,48.3,48.3,48.9,48.0,48.05,48.15,48.39,504352,2440648960000.0,4574,259477,0.5145000000000001
2011-10-03,L&TFH,EQ,48.15,47.55,48.0,47.2,47.75,47.55,47.56,504729,2400702760000.0,5397,240647,0.4768
2011-10-04,L&TFH,EQ,47.55,47.4,48.0,46.9,47.2,47.3,47.49,620098,2944636015000.0,4969,283532,0.4572
2011-10-05,L&TFH,EQ,47.3,47.5,47.85,47.0,47.2,47.05,47.33,389282,1842547500000.0,4028,185576,0.4767
2011-10-07,L&TFH,EQ,47.05,48.2,49.9,47.65,49.0,48.9,48.87,1410397,6893198959999.999,11017,587112,0.41630000000000006
