Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,LT,EQ,1677.6,1683.0,1696.85,1683.0,1692.0,1691.4,1690.68,471122,79651571515000.0,71780.01106581246,188338,0.3998
2010-01-05,LT,EQ,1691.4,1705.0,1710.4,1684.15,1690.55,1694.4,1695.37,1192884,202238225580000.0,71780.01106581246,793282,0.665
2010-01-06,LT,EQ,1694.4,1657.85,1706.9,1657.85,1676.4,1675.65,1682.79,1367204,230071965915000.0,71780.01106581246,924554,0.6762
2010-01-07,LT,EQ,1675.65,1673.95,1688.5,1660.05,1667.0,1667.6,1669.41,903565,150842339470000.0,71780.01106581246,455663,0.5043
2010-01-08,LT,EQ,1667.6,1670.5,1696.85,1670.5,1675.7,1678.15,1686.39,1307102,220428684450000.0,71780.01106581246,800095,0.6121
2010-01-11,LT,EQ,1678.15,1691.0,1700.0,1673.2,1679.0,1677.3,1686.72,993580,167588898695000.0,71780.01106581246,642289,0.6464
2010-01-12,LT,EQ,1677.3,1682.0,1696.9,1663.0,1680.0,1679.25,1681.24,1387134,233211089844999.97,71780.01106581246,789946,0.5695
2010-01-13,LT,EQ,1679.25,1670.0,1689.0,1661.7,1672.75,1673.2,1671.64,810134,135425244565000.02,71780.01106581246,440062,0.5432
2010-01-14,LT,EQ,1673.2,1680.2,1680.2,1653.0,1669.35,1668.4,1665.83,1737040,289360525045000.0,71780.01106581246,1144640,0.659
2010-01-15,LT,EQ,1668.4,1674.05,1674.05,1645.0,1655.5,1651.2,1651.69,1434130,236874349005000.03,71780.01106581246,1011712,0.7055
2010-01-18,LT,EQ,1651.2,1654.8,1673.0,1640.0,1654.0,1654.75,1659.49,710463,117900343020000.0,71780.01106581246,381156,0.5365
2010-01-19,LT,EQ,1654.75,1660.0,1666.8,1635.55,1643.85,1642.5,1655.07,1023989,169477205955000.0,71780.01106581246,692912,0.6767000000000001
2010-01-20,LT,EQ,1642.5,1651.0,1651.9,1630.5,1636.45,1635.95,1640.36,1013877,166312769215000.0,71780.01106581246,610632,0.6023
2010-01-21,LT,EQ,1635.95,1634.8,1638.0,1518.2,1530.0,1524.1,1564.89,4949907,774606291955000.0,71780.01106581246,2579492,0.5211
2010-01-22,LT,EQ,1524.1,1524.15,1524.15,1436.35,1467.25,1471.7,1470.53,5763805,847587068285000.0,71780.01106581246,3390170,0.5882000000000001
2010-01-25,LT,EQ,1471.7,1473.0,1499.0,1456.0,1486.65,1490.45,1483.8,1770554,262715141430000.03,71780.01106581246,695506,0.39280000000000004
2010-01-27,LT,EQ,1490.45,1477.9,1489.0,1438.0,1451.35,1458.05,1460.42,2353699,343739767095000.0,71780.01106581246,1177620,0.5003
2010-01-28,LT,EQ,1458.05,1470.0,1486.6,1410.0,1430.0,1431.5,1429.86,4143325,592438330125000.0,71780.01106581246,2107748,0.5086999999999999
2010-01-29,LT,EQ,1431.5,1425.0,1451.5,1401.0,1422.0,1423.85,1422.11,3588972,510391780500000.0,71780.01106581246,1878969,0.5235000000000001
2010-02-01,LT,EQ,1423.85,1444.7,1444.7,1408.0,1419.5,1417.25,1422.46,2660622,378463851485000.0,71780.01106581246,1343174,0.5048
2010-02-02,LT,EQ,1417.25,1430.0,1438.0,1390.0,1397.3,1396.4,1408.42,2378325,334967451930000.0,71780.01106581246,1124338,0.47270000000000006
2010-02-03,LT,EQ,1396.4,1401.35,1457.0,1390.0,1450.05,1450.15,1438.53,2680499,385598809465000.0,71780.01106581246,1183747,0.4416
2010-02-04,LT,EQ,1450.15,1440.0,1456.9,1425.6,1440.5,1444.8,1443.91,1617455,233546650705000.03,71780.01106581246,750804,0.4642
2010-02-05,LT,EQ,1444.8,1415.0,1442.6,1389.9,1417.9,1424.0,1418.73,2206654,313065610000000.0,71780.01106581246,1088542,0.4933
2010-02-06,LT,EQ,1424.0,1430.1,1438.85,1422.3,1430.0,1429.9,1430.64,116464,16661796269999.998,71780.01106581246,31378,0.26940000000000003
2010-02-08,LT,EQ,1429.9,1440.0,1462.0,1413.5,1446.05,1444.45,1434.99,1563230,224321894065000.0,71780.01106581246,690098,0.4415
2010-02-09,LT,EQ,1444.45,1449.0,1464.85,1433.25,1460.8,1461.85,1453.04,1615138,234685795444999.97,71780.01106581246,759624,0.4703
2010-02-10,LT,EQ,1461.85,1471.0,1477.0,1431.0,1436.5,1436.2,1448.98,1132684,164124133185000.0,71780.01106581246,373018,0.3293
2010-02-11,LT,EQ,1436.2,1441.0,1460.0,1441.0,1449.9,1448.1,1451.26,521455,75676634490000.0,71780.01106581246,135471,0.25980000000000003
2010-02-15,LT,EQ,1448.1,1458.0,1458.7,1424.0,1440.0,1433.05,1435.18,737982,105913977185000.0,71780.01106581246,245076,0.3321
2010-02-16,LT,EQ,1433.05,1414.4,1463.0,1410.0,1460.0,1445.7,1440.73,876159,126230546390000.02,71780.01106581246,442719,0.5053
2010-02-17,LT,EQ,1445.7,1460.25,1484.0,1458.9,1471.3,1474.3,1474.65,886469,130722881040000.02,71780.01106581246,354476,0.39990000000000003
2010-02-18,LT,EQ,1474.3,1483.55,1483.55,1463.0,1475.0,1476.25,1474.67,692086,102059975625000.0,71780.01106581246,333117,0.48130000000000006
2010-02-19,LT,EQ,1476.25,1469.8,1494.0,1443.3,1476.0,1478.45,1465.61,945815,138619349555000.0,71780.01106581246,351014,0.3711
2010-02-22,LT,EQ,1478.45,1490.0,1501.9,1477.7,1489.0,1491.55,1489.41,677119,100850649255000.0,71780.01106581246,283630,0.4189
2010-02-23,LT,EQ,1491.55,1485.0,1494.85,1465.55,1494.7,1489.6,1484.34,937518,139159197184999.98,71780.01106581246,335353,0.3577
2010-02-24,LT,EQ,1489.6,1485.0,1516.0,1471.0,1504.0,1501.15,1504.83,1773600,266895841025000.0,71780.01106581246,873574,0.4925
