Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-07-01,MGL,EQ,421.0,540.0,548.95,518.0,519.3,520.3,532.46,20001438,1065003944360000.0,345537,7191706,0.35960000000000003
2016-07-04,MGL,EQ,520.3,523.5,533.9,521.3,530.35,531.05,528.53,3591938,189843052320000.0,67906,1294873,0.3605
2016-07-05,MGL,EQ,531.05,530.0,532.5,516.25,517.5,517.5,524.29,1611597,84494088695000.0,27257,682049,0.4232
2016-07-07,MGL,EQ,517.5,518.75,520.6,504.55,506.5,506.2,511.14,1050990,53719834545000.01,29358,525637,0.5001
2016-07-08,MGL,EQ,506.2,506.4,510.75,498.55,503.0,502.5,504.26,1306333,65872646495000.01,35666,552701,0.42310000000000003
2016-07-11,MGL,EQ,502.5,508.0,511.75,502.0,503.0,503.4,506.6,963350,48803570725000.0,22188,480102,0.49840000000000007
2016-07-12,MGL,EQ,503.4,505.4,506.0,495.1,496.35,496.75,498.97,790935,39465326355000.0,20038,441157,0.5578000000000001
2016-07-13,MGL,EQ,496.75,497.5,504.25,492.65,500.9,500.25,499.35,835625,41726998900000.0,21168,345185,0.4131
2016-07-14,MGL,EQ,500.25,500.9,509.95,498.0,505.3,506.55,504.76,676085,34126124930000.0,18404,311368,0.46049999999999996
2016-07-15,MGL,EQ,506.55,507.45,513.9,502.05,507.55,506.8,508.93,801549,40793064785000.0,22616,332609,0.41500000000000004
2016-07-18,MGL,EQ,506.8,507.8,511.8,503.1,510.65,509.9,508.77,500134,25445282120000.0,13970,261995,0.5238
2016-07-19,MGL,EQ,509.9,510.1,514.2,508.0,509.25,509.45,510.32,306063,15618864544999.998,8125,153722,0.5023
2016-07-20,MGL,EQ,509.45,510.1,512.75,509.0,510.0,510.1,510.59,436612,22292988400000.0,17924,327738,0.7506
2016-07-21,MGL,EQ,510.1,510.05,513.75,502.45,502.95,503.9,509.31,376728,19187310300000.0,17644,205045,0.5443
2016-07-22,MGL,EQ,503.9,504.8,509.75,504.0,509.0,508.1,507.6,246857,12530424770000.0,18997,173891,0.7044
2016-07-25,MGL,EQ,508.1,508.45,509.45,503.15,506.2,504.55,506.06,209098,10581655890000.0,10693,151597,0.725
2016-07-26,MGL,EQ,504.55,506.0,507.25,497.7,500.0,499.4,503.43,203104,10224920185000.0,9208,132149,0.6506000000000001
2016-07-27,MGL,EQ,499.4,498.4,503.95,496.6,498.0,498.0,500.02,208083,10404643605000.0,12099,149757,0.7197
2016-07-28,MGL,EQ,498.0,499.7,511.25,496.0,506.5,506.35,505.1,653293,32998022314999.996,18776,422170,0.6462000000000001
2016-07-29,MGL,EQ,506.35,507.0,515.6,506.2,509.0,508.8,509.77,544200,27741925880000.0,17798,334837,0.6153000000000001
2016-08-01,MGL,EQ,508.8,509.0,515.0,504.0,514.2,512.35,507.83,1819762,92413022530000.0,42730,1539216,0.8458
2016-08-02,MGL,EQ,512.35,514.85,521.95,514.0,518.5,519.4,518.92,1016034,52724192230000.0,32309,605667,0.5961
2016-08-03,MGL,EQ,519.4,519.0,523.95,509.1,510.55,511.35,516.09,461560,23820659530000.0,19703,290132,0.6286
2016-08-04,MGL,EQ,511.35,513.5,518.5,509.95,518.05,517.0,515.55,369454,19047090115000.0,15280,224055,0.6064
2016-08-05,MGL,EQ,517.0,517.95,522.0,514.05,520.1,519.55,519.41,417478,21684145835000.0,31108,269334,0.6451000000000001
2016-08-08,MGL,EQ,519.55,522.0,532.4,521.0,530.05,530.3,527.29,657734,34681969405000.0,29478,327857,0.4985
2016-08-09,MGL,EQ,530.3,530.25,547.3,527.55,539.75,540.3,539.21,1274819,68739869145000.01,33421,750948,0.5891
2016-08-10,MGL,EQ,540.3,542.0,542.0,532.0,534.5,535.1,535.21,399445,21378589590000.0,11204,241439,0.6043999999999999
