Date,Open,High,Low,Close,Volume,Turnover
2010-01-04,2646.5,2696.25,2645.65,2689.85,82032516,13981700000.0
2010-01-05,2710.4,2748.2,2708.75,2744.3,126955602,23427900000.0
2010-01-06,2754.75,2767.55,2739.5,2759.95,106847653,19193400000.0
2010-01-07,2762.2,2769.85,2735.45,2741.25,95768151,16660000000.0
2010-01-08,2748.5,2759.7,2736.35,2744.15,106892586,16417100000.0
2010-01-11,2758.45,2776.2,2750.05,2758.2,100649235,16715400000.0
2010-01-12,2762.8,2777.75,2717.85,2726.9,106074361,17471000000.0
2010-01-13,2713.45,2760.25,2702.5,2756.15,97146163,15661400000.000002
2010-01-14,2777.55,2793.05,2773.15,2786.1,123989612,19105100000.0
2010-01-15,2798.55,2813.0,2786.8,2794.75,103416327,17925900000.0
2010-01-18,2788.0,2803.4,2784.35,2798.0,81809267,13828800000.000002
2010-01-19,2797.7,2813.45,2760.0,2765.3,76973090,13759900000.0
2010-01-20,2772.85,2793.9,2736.65,2746.6,73886041,13348900000.000002
2010-01-21,2742.3,2744.65,2657.6,2670.3,95514411,14867400000.0
2010-01-22,2649.0,2651.95,2557.85,2644.75,116109906,17413000000.0
2010-01-25,2633.8,2633.8,2595.45,2602.4,79767024,14336300000.000002
2010-01-27,2583.45,2591.65,2477.85,2492.25,96033115,17798200000.0
2010-01-28,2518.7,2538.2,2480.95,2500.8,140975454,24296400000.0
2010-01-29,2491.0,2548.3,2428.3,2539.2,115794042,18996100000.0
2010-02-01,2531.1,2596.4,2518.3,2584.0,72469948,14670000000.0
2010-02-02,2602.5,2625.6,2544.2,2551.15,67639584,12939900000.0
2010-02-03,2553.1,2615.75,2553.1,2612.25,79660685,13825300000.0
2010-02-04,2609.85,2614.35,2537.75,2543.8,71497313,12446600000.0
2010-02-05,2526.75,2526.75,2454.55,2479.45,87578627,13565200000.0
2010-02-06,2488.95,2519.7,2488.95,2509.3,10915034,1526600000.0
2010-02-08,2509.0,2533.1,2466.0,2513.7,74871217,13043699999.999998
2010-02-09,2513.1,2542.3,2506.35,2540.1,70467684,11212600000.0
2010-02-10,2545.0,2570.1,2516.5,2522.25,66275185,11462200000.0
2010-02-11,2533.2,2558.25,2533.2,2547.85,49097648,8792100000.0
2010-02-15,2553.85,2562.85,2535.15,2541.75,41999741,7650800000.0
2010-02-16,2544.95,2574.15,2528.7,2566.35,41645168,8090700000.000001
2010-02-17,2580.25,2603.7,2580.25,2596.7,52868096,12212700000.0
2010-02-18,2598.6,2602.65,2571.95,2581.15,45941986,9733800000.0
2010-02-19,2570.85,2570.85,2518.95,2537.35,64236883,11198200000.0
2010-02-22,2558.1,2573.0,2514.45,2519.3,50264176,9354800000.0
2010-02-23,2517.4,2526.1,2499.75,2506.65,51780683,10769800000.0
2010-02-24,2497.5,2509.85,2486.9,2501.35,60610635,10671400000.000002
2010-02-25,2506.75,2512.25,2477.55,2483.2,89670208,16400100000.0
2010-02-26,2487.2,2546.5,2483.95,2515.65,89279594,14386300000.000002
2010-03-02,2528.3,2580.35,2528.3,2575.05,74173079,11279000000.0
2010-03-03,2582.0,2618.5,2582.0,2615.7,65962030,12257000000.0
2010-03-04,2622.1,2643.55,2616.45,2641.45,86491962,14486099999.999998
2010-03-05,2643.2,2672.25,2643.2,2667.05,83452845,14809000000.0
2010-03-08,2673.4,2699.55,2664.9,2679.8,84285682,13136300000.000002
2010-03-09,2679.9,2683.05,2645.8,2651.6,69629960,11190100000.0
2010-03-10,2643.55,2671.3,2626.15,2642.4,60068880,11480800000.0
2010-03-11,2640.3,2650.45,2624.0,2644.0,48988012,9525000000.0
2010-03-12,2652.05,2657.55,2629.55,2639.45,56299958,10906300000.000002
2010-03-15,2641.8,2641.8,2610.85,2628.9,68130359,10580000000.0
2010-03-16,2638.15,2657.7,2630.1,2655.95,68133602,12804100000.0
2010-03-17,2666.0,2686.1,2660.55,2669.1,82545858,14446700000.0
2010-03-18,2671.4,2683.95,2662.65,2681.45,67701720,11800300000.0
2010-03-19,2683.7,2692.15,2675.95,2684.0,59939019,11345800000.0
2010-03-22,2683.4,2683.4,2644.45,2663.85,55516272,9514000000.0
2010-03-23,2664.6,2688.5,2664.6,2684.1,61054485,11085800000.0
2010-03-25,2683.75,2690.4,2667.25,2673.55,96390557,15954800000.0
2010-03-26,2675.1,2701.05,2675.1,2694.8,59976392,10312900000.0
2010-03-29,2706.05,2710.15,2685.0,2692.35,66369291,10359900000.0
2010-03-30,2700.1,2710.15,2678.35,2686.25,59086510,10208400000.0
2010-03-31,2693.55,2699.2,2680.0,2692.95,58769810,10171900000.0
2010-04-01,2696.95,2715.4,2696.95,2712.95,53040262,9200800000.0
2010-04-05,2719.4,2759.95,2719.4,2756.6,66588232,10548000000.0
2010-04-06,2764.9,2775.95,2754.65,2770.45,80414236,11951500000.0
2010-04-07,2776.05,2794.6,2758.2,2777.0,81737970,12294400000.0
2010-04-08,2775.2,2787.55,2748.6,2758.85,86506283,14678200000.0
2010-04-09,2770.4,2794.95,2768.2,2792.0,88180083,12096500000.0
2010-04-12,2801.25,2806.1,2779.7,2785.25,71926094,10336199999.999998
