Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,ORIENTBANK,EQ,250.3,251.5,261.3,251.5,259.8,260.15,257.8,559148,14414729185000.0,18137.34245777519,329497,0.5893
2010-01-05,ORIENTBANK,EQ,260.15,262.0,265.6,260.2,263.5,262.95,263.47,830922,21891973860000.0,18137.34245777519,586768,0.7062
2010-01-06,ORIENTBANK,EQ,262.95,263.0,270.2,261.0,269.0,268.2,267.65,785435,21022411280000.0,18137.34245777519,414970,0.5283
2010-01-07,ORIENTBANK,EQ,268.2,268.3,268.3,264.65,265.4,265.95,266.18,154537,4113485735000.0,18137.34245777519,61696,0.3992
2010-01-08,ORIENTBANK,EQ,265.95,264.4,264.95,259.0,260.05,259.75,261.88,279651,7323555265000.001,18137.34245777519,188067,0.6725
2010-01-11,ORIENTBANK,EQ,259.75,260.0,264.0,256.6,258.9,258.2,260.41,167293,4356432920000.0005,18137.34245777519,89339,0.534
2010-01-12,ORIENTBANK,EQ,258.2,258.25,262.0,257.0,257.0,257.5,259.26,254497,6598095360000.0,18137.34245777519,146689,0.5764
2010-01-13,ORIENTBANK,EQ,257.5,263.9,263.9,256.0,258.5,257.65,257.56,169339,4361426245000.0005,18137.34245777519,97565,0.5761999999999999
2010-01-14,ORIENTBANK,EQ,257.65,258.75,261.5,255.25,256.35,256.85,258.6,220156,5693228635000.0,18137.34245777519,126524,0.5747
2010-01-15,ORIENTBANK,EQ,256.85,256.0,258.7,254.65,255.7,256.25,256.79,213544,5483513925000.0,18137.34245777519,105071,0.49200000000000005
2010-01-18,ORIENTBANK,EQ,256.25,256.05,260.5,253.2,257.15,257.6,257.81,480975,12400058915000.0,18137.34245777519,310666,0.6459
2010-01-19,ORIENTBANK,EQ,257.6,258.2,265.8,258.2,260.7,259.75,262.76,244010,6411605645000.0,18137.34245777519,78979,0.3237
2010-01-20,ORIENTBANK,EQ,259.75,260.1,263.4,252.1,252.1,253.5,256.68,325223,8347759805000.0,18137.34245777519,166121,0.5108
2010-01-21,ORIENTBANK,EQ,253.5,251.5,253.9,245.5,245.6,247.05,250.16,225426,5639368595000.0,18137.34245777519,111335,0.4939
2010-01-22,ORIENTBANK,EQ,247.05,243.0,249.95,240.25,245.4,245.85,244.18,197939,4833242605000.0,18137.34245777519,88514,0.4472
2010-01-25,ORIENTBANK,EQ,245.85,244.8,246.8,240.1,240.3,241.2,242.02,409525,9911280585000.0,18137.34245777519,304749,0.7442000000000001
2010-01-27,ORIENTBANK,EQ,241.2,241.0,241.0,224.25,225.25,229.55,231.31,1175889,27199291720000.0,18137.34245777519,844025,0.7178
2010-01-28,ORIENTBANK,EQ,229.55,231.55,254.55,229.55,250.5,251.25,244.14,1802833,44013578785000.0,18137.34245777519,887288,0.4922
2010-01-29,ORIENTBANK,EQ,251.25,249.0,267.5,240.2,266.5,265.85,257.35,2909252,74868443960000.0,18137.34245777519,1501437,0.5161
2010-02-01,ORIENTBANK,EQ,265.85,265.85,284.0,263.5,280.9,280.55,277.49,2181213,60527210625000.0,18137.34245777519,1162966,0.5332
2010-02-02,ORIENTBANK,EQ,280.55,282.6,289.0,264.35,265.5,267.3,275.89,1080397,29807535905000.0,18137.34245777519,401033,0.3712
2010-02-03,ORIENTBANK,EQ,267.3,267.0,276.4,267.0,269.15,270.5,272.55,517522,14105231700000.0,18137.34245777519,134013,0.259
2010-02-04,ORIENTBANK,EQ,270.5,269.1,271.4,261.7,263.15,262.8,265.98,388828,10342028420000.0,18137.34245777519,117925,0.3033
2010-02-05,ORIENTBANK,EQ,262.8,269.9,269.9,253.1,256.0,255.15,255.73,371262,9494366475000.0,18137.34245777519,157805,0.4251
2010-02-06,ORIENTBANK,EQ,255.15,259.95,264.45,256.0,262.1,261.15,259.66,83904,2178665300000.0,18137.34245777519,44452,0.5297999999999999
2010-02-08,ORIENTBANK,EQ,261.15,263.0,267.75,254.4,262.75,263.35,261.49,436678,11418699695000.0,18137.34245777519,123970,0.2839
2010-02-09,ORIENTBANK,EQ,263.35,263.85,268.6,259.15,267.5,266.6,264.96,775564,20549608515000.0,18137.34245777519,463048,0.5970000000000001
2010-02-10,ORIENTBANK,EQ,266.6,269.8,270.2,264.25,267.0,267.0,267.68,317632,8502281270000.0,18137.34245777519,181967,0.5729
2010-02-11,ORIENTBANK,EQ,267.0,269.0,276.0,267.0,273.0,274.0,272.77,475670,12974755270000.0,18137.34245777519,226053,0.47520000000000007
2010-02-15,ORIENTBANK,EQ,274.0,275.0,275.6,266.2,267.1,267.2,269.26,185314,4989728055000.0,18137.34245777519,64844,0.34990000000000004
2010-02-16,ORIENTBANK,EQ,267.2,269.0,272.95,264.35,271.55,271.4,268.42,120941,3246337895000.0,18137.34245777519,23719,0.1961
2010-02-17,ORIENTBANK,EQ,271.4,273.0,274.25,268.0,271.0,271.15,271.08,209498,5679135690000.0,18137.34245777519,73260,0.3497
2010-02-18,ORIENTBANK,EQ,271.15,271.15,272.55,261.0,263.4,262.95,265.94,259512,6901433555000.0,18137.34245777519,164596,0.6343
2010-02-19,ORIENTBANK,EQ,262.95,260.5,266.75,258.35,262.0,263.9,263.43,160701,4233426535000.0,18137.34245777519,54160,0.337
2010-02-22,ORIENTBANK,EQ,263.9,266.1,271.75,263.5,270.05,270.1,267.37,517896,13846810530000.002,18137.34245777519,367699,0.71
2010-02-23,ORIENTBANK,EQ,270.1,270.0,274.0,266.1,266.65,267.0,269.98,345605,9330691730000.0,18137.34245777519,148105,0.42850000000000005
2010-02-24,ORIENTBANK,EQ,267.0,265.2,273.45,265.2,272.5,272.25,271.67,440503,11967070880000.0,18137.34245777519,257412,0.5844
2010-02-25,ORIENTBANK,EQ,272.25,272.0,281.9,272.0,275.85,276.55,277.68,805970,22380262610000.0,18137.34245777519,386272,0.4793
2010-02-26,ORIENTBANK,EQ,276.55,277.0,283.4,272.35,274.0,274.25,279.02,576886,16096093455000.002,18137.34245777519,230176,0.399
2010-03-02,ORIENTBANK,EQ,274.25,279.75,287.95,276.0,287.4,286.9,282.98,658045,18621558110000.0,18137.34245777519,262983,0.3996
2010-03-03,ORIENTBANK,EQ,286.9,289.0,305.0,288.0,301.5,302.9,297.68,1487355,44275003275000.0,18137.34245777519,746763,0.5021
2010-03-04,ORIENTBANK,EQ,302.9,303.0,310.85,293.35,294.15,296.25,302.83,1309387,39651588840000.0,18137.34245777519,639357,0.4883
2010-03-05,ORIENTBANK,EQ,296.25,297.5,313.0,297.1,306.8,309.05,304.56,1890507,57576960815000.0,18137.34245777519,1201143,0.6354
2010-03-08,ORIENTBANK,EQ,309.05,311.0,312.8,298.0,299.7,299.7,303.57,515791,15657982830000.002,18137.34245777519,249707,0.4841
2010-03-09,ORIENTBANK,EQ,299.7,304.0,310.8,302.2,305.0,305.95,304.82,728160,22195664430000.0,18137.34245777519,463695,0.6368
2010-03-10,ORIENTBANK,EQ,305.95,308.9,308.9,301.0,304.25,305.75,305.86,559888,17124522444999.998,18137.34245777519,339529,0.6064
2010-03-11,ORIENTBANK,EQ,305.75,303.0,307.35,296.6,298.8,299.65,301.21,474400,14289425394999.998,18137.34245777519,248875,0.5246000000000001
2010-03-12,ORIENTBANK,EQ,299.65,299.9,302.5,290.05,292.0,291.4,293.77,730383,21456496455000.0,18137.34245777519,360428,0.49350000000000005
2010-03-15,ORIENTBANK,EQ,291.4,286.6,291.9,282.55,285.4,285.05,285.37,326687,9322781425000.0,18137.34245777519,146415,0.4482
2010-03-16,ORIENTBANK,EQ,285.05,283.05,292.9,282.1,291.3,291.75,289.67,196261,5685000230000.0,18137.34245777519,47852,0.2438
2010-03-17,ORIENTBANK,EQ,291.75,293.0,300.4,289.05,300.0,299.4,293.42,868156,25473592955000.0,18137.34245777519,629503,0.7251000000000001
2010-03-18,ORIENTBANK,EQ,299.4,301.0,301.0,293.45,297.6,298.75,298.05,437943,13052893385000.0,18137.34245777519,179941,0.41090000000000004
2010-03-19,ORIENTBANK,EQ,298.75,300.9,303.2,294.05,295.7,295.65,297.89,440156,13111598860000.0,18137.34245777519,241122,0.5478000000000001
2010-03-22,ORIENTBANK,EQ,295.65,292.0,302.95,290.0,294.35,294.2,298.83,555824,16609696360000.0,18137.34245777519,257354,0.46299999999999997
2010-03-23,ORIENTBANK,EQ,294.2,295.05,300.0,293.5,297.15,296.55,296.1,234601,6946466565000.001,18137.34245777519,100482,0.4283
2010-03-25,ORIENTBANK,EQ,296.55,298.7,309.7,296.25,309.05,307.05,303.92,985229,29943397489999.996,18137.34245777519,372852,0.37840000000000007
2010-03-26,ORIENTBANK,EQ,307.05,310.0,315.85,308.0,312.6,314.15,312.04,681753,21273106230000.0,18137.34245777519,257878,0.37829999999999997
2010-03-29,ORIENTBANK,EQ,314.15,316.0,321.45,314.1,318.8,318.0,318.36,839784,26735764810000.0,18137.34245777519,531024,0.6323
2010-03-30,ORIENTBANK,EQ,318.0,322.0,325.9,318.5,323.55,324.05,323.51,783221,25337709165000.0,18137.34245777519,477500,0.6097
2010-03-31,ORIENTBANK,EQ,324.05,325.9,326.1,320.0,320.35,320.95,321.69,423234,13615068019999.998,18137.34245777519,222027,0.5246000000000001
2010-04-01,ORIENTBANK,EQ,320.95,323.0,325.25,318.45,324.0,323.3,322.64,468221,15106565825000.0,18137.34245777519,272314,0.5816
2010-04-05,ORIENTBANK,EQ,323.3,325.0,338.0,323.3,335.0,334.2,331.25,511479,16942855394999.998,18137.34245777519,298491,0.5836
2010-04-06,ORIENTBANK,EQ,334.2,336.75,336.75,330.25,331.0,331.4,331.76,275242,9131436030000.0,18137.34245777519,148355,0.539
2010-04-07,ORIENTBANK,EQ,331.4,333.0,338.0,330.0,335.0,335.5,334.25,673534,22512658530000.0,18137.34245777519,398769,0.5921000000000001
2010-04-08,ORIENTBANK,EQ,335.5,332.1,335.0,329.1,329.95,332.0,332.56,568077,18892186305000.0,18137.34245777519,429671,0.7564000000000001
2010-04-09,ORIENTBANK,EQ,332.0,330.95,333.5,326.3,332.0,331.45,331.32,376287,12467047860000.0,18137.34245777519,218801,0.5815
2010-04-12,ORIENTBANK,EQ,331.45,335.0,339.6,328.0,338.9,337.55,333.14,554249,18464378910000.0,18137.34245777519,327705,0.5913
2010-04-13,ORIENTBANK,EQ,337.55,337.0,337.0,329.0,329.5,330.15,331.89,1152266,38242693700000.0,18137.34245777519,1020646,0.8858
2010-04-15,ORIENTBANK,EQ,330.15,332.0,335.9,326.55,328.5,328.8,331.33,1268868,42041238215000.0,18137.34245777519,996159,0.7851
2010-04-16,ORIENTBANK,EQ,328.8,329.8,330.0,321.15,326.0,326.65,325.87,943682,30751959964999.996,18137.34245777519,757672,0.8029000000000001
2010-04-19,ORIENTBANK,EQ,326.65,324.9,324.9,315.25,319.5,319.65,319.13,519111,16566175085000.0,18137.34245777519,287796,0.5544
2010-04-20,ORIENTBANK,EQ,319.65,320.0,326.4,318.8,322.0,322.3,323.1,1062693,34335249020000.0,18137.34245777519,708024,0.6663
2010-04-21,ORIENTBANK,EQ,322.3,324.95,328.85,320.0,322.55,323.1,323.52,618669,20015346415000.0,18137.34245777519,396629,0.6411
2010-04-22,ORIENTBANK,EQ,323.1,326.5,327.7,320.2,323.0,324.4,325.32,1314482,42762384250000.0,18137.34245777519,914986,0.6961
2010-04-23,ORIENTBANK,EQ,324.4,323.9,342.5,323.0,338.9,339.2,337.44,1118016,37726046315000.0,18137.34245777519,468034,0.4186
2010-04-26,ORIENTBANK,EQ,339.2,344.0,346.45,338.1,341.7,341.15,342.79,344471,11808080860000.0,18137.34245777519,122918,0.3568
2010-04-27,ORIENTBANK,EQ,341.15,340.5,344.8,338.05,338.05,339.4,340.61,334678,11399620995000.0,18137.34245777519,211290,0.6313000000000001
