Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,SREINTFIN,EQ,77.75,78.7,79.6,77.4,78.2,78.35,78.66,1674592,13172798010000.0,7287.229020979021,942851,0.563
2010-01-05,SREINTFIN,EQ,78.35,79.4,86.85,79.1,84.65,84.85,84.24,5874556,49487976200000.0,7287.229020979021,2907431,0.4949
2010-01-06,SREINTFIN,EQ,84.85,85.45,85.45,80.8,81.4,81.55,82.68,2194165,18142013465000.0,7287.229020979021,1189320,0.542
2010-01-07,SREINTFIN,EQ,81.55,81.9,92.35,81.35,88.25,88.7,87.5,8330439,72888828705000.0,7287.229020979021,3048037,0.36590000000000006
2010-01-08,SREINTFIN,EQ,88.7,89.3,90.4,86.4,88.5,88.3,88.83,2506352,22263670405000.0,7287.229020979021,876022,0.34950000000000003
2010-01-11,SREINTFIN,EQ,88.3,89.0,93.4,88.6,90.0,90.0,90.92,1737786,15799428340000.0,7287.229020979021,656418,0.37770000000000004
2010-01-12,SREINTFIN,EQ,90.0,91.8,91.8,86.05,86.9,86.75,88.79,849332,7541143240000.001,7287.229020979021,490554,0.5776
2010-01-13,SREINTFIN,EQ,86.75,85.6,89.6,84.9,89.5,88.4,86.98,717844,6243572645000.0,7287.229020979021,271803,0.3786
2010-01-14,SREINTFIN,EQ,88.4,89.25,92.6,89.0,90.0,90.0,90.72,1531405,13893249069999.998,7287.229020979021,573851,0.3747
2010-01-15,SREINTFIN,EQ,90.0,90.8,90.9,88.0,88.05,88.45,89.43,487652,4361101375000.0,7287.229020979021,231916,0.4756
2010-01-18,SREINTFIN,EQ,88.45,88.45,90.55,87.1,88.0,88.1,89.16,657625,5863642680000.0,7287.229020979021,355196,0.5401
2010-01-19,SREINTFIN,EQ,88.1,88.5,92.15,88.15,90.35,89.55,90.64,2085245,18899735820000.0,7287.229020979021,937362,0.4495
