Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,SRF,EQ,204.8,208.5,213.7,204.8,211.9,212.0,210.75,505229,10647818900000.0,6845.789044289044,187868,0.3718
2010-01-05,SRF,EQ,212.0,213.9,221.95,213.05,214.25,214.5,217.2,1036392,22510483695000.0,6845.789044289044,336741,0.3249
2010-01-06,SRF,EQ,214.5,215.0,219.9,212.2,212.5,213.7,215.75,395416,8531061740000.001,6845.789044289044,147958,0.37420000000000003
2010-01-07,SRF,EQ,213.7,214.8,217.9,211.6,213.35,212.8,214.05,385001,8240848440000.001,6845.789044289044,160054,0.4157
2010-01-08,SRF,EQ,212.8,213.8,217.5,212.5,213.45,213.35,214.95,325293,6992231005000.0,6845.789044289044,129853,0.3992
2010-01-11,SRF,EQ,213.35,216.0,217.7,213.5,214.5,214.05,215.73,389435,8401349120000.0,6845.789044289044,150880,0.3874
2010-01-12,SRF,EQ,214.05,215.0,215.8,205.1,207.55,207.0,211.11,237417,5012054235000.0,6845.789044289044,121077,0.51
2010-01-13,SRF,EQ,207.0,207.0,211.8,203.35,208.0,206.85,207.12,284274,5887858225000.0,6845.789044289044,91785,0.3229
2010-01-14,SRF,EQ,206.85,210.5,212.0,207.25,207.25,207.8,209.54,155038,3248719060000.0,6845.789044289044,71001,0.45799999999999996
2010-01-15,SRF,EQ,207.8,208.5,210.8,206.0,207.0,206.9,208.59,147476,3076179150000.0,6845.789044289044,65848,0.4465
2010-01-18,SRF,EQ,206.9,206.5,220.8,205.6,217.8,217.7,216.35,1296869,28058214639999.996,6845.789044289044,458740,0.35369999999999996
2010-01-19,SRF,EQ,217.7,218.0,224.95,200.2,200.55,202.0,212.68,1774327,37735671990000.0,6845.789044289044,655794,0.36960000000000004
2010-01-20,SRF,EQ,202.0,203.0,205.0,196.2,201.15,200.65,200.39,726493,14557830580000.002,6845.789044289044,326872,0.4499
2010-01-21,SRF,EQ,200.65,198.9,203.4,196.9,203.0,201.5,200.25,537361,10760504685000.0,6845.789044289044,264466,0.4922
2010-01-22,SRF,EQ,201.5,181.15,199.5,181.15,193.8,195.0,196.03,354175,6943031505000.0,6845.789044289044,112772,0.3184
2010-01-25,SRF,EQ,195.0,195.0,200.0,192.0,193.35,193.8,196.26,243404,4777070485000.0,6845.789044289044,77029,0.3165
2010-01-27,SRF,EQ,193.8,193.0,195.8,183.5,183.65,185.05,189.45,213193,4039044115000.0,6845.789044289044,115132,0.54
2010-01-28,SRF,EQ,185.05,186.0,193.35,185.45,188.5,188.3,189.46,382146,7240317380000.0,6845.789044289044,88369,0.23120000000000002
2010-01-29,SRF,EQ,188.3,188.0,195.0,181.55,194.85,193.7,190.0,315911,6002204420000.0,6845.789044289044,158676,0.5023
2010-02-01,SRF,EQ,193.7,190.1,196.65,190.0,190.1,190.55,192.35,240267,4621435110000.0,6845.789044289044,119084,0.49560000000000004
2010-02-02,SRF,EQ,190.55,192.75,194.55,187.0,188.65,188.6,191.28,143824,2751136005000.0,6845.789044289044,79384,0.552
2010-02-03,SRF,EQ,188.6,190.5,194.0,189.55,190.65,190.8,191.58,156506,2998405195000.0,6845.789044289044,49836,0.3184
2010-02-04,SRF,EQ,190.8,188.1,191.95,184.55,187.5,185.6,188.04,140630,2644445345000.0,6845.789044289044,67182,0.4777
2010-02-05,SRF,EQ,185.6,182.0,184.95,180.0,183.0,182.35,182.77,258906,4731925115000.0,6845.789044289044,98034,0.3786
2010-02-06,SRF,EQ,182.35,182.2,184.45,181.65,183.75,183.75,183.35,26140,479288555000.0,6845.789044289044,13231,0.5062
2010-02-08,SRF,EQ,183.75,184.0,185.0,181.5,182.6,182.65,182.96,81505,1491220930000.0,6845.789044289044,36248,0.4447
2010-02-09,SRF,EQ,182.65,184.0,187.5,180.65,183.9,184.05,184.22,117565,2165805120000.0,6845.789044289044,49006,0.4168
2010-02-10,SRF,EQ,184.05,185.5,187.8,182.25,183.9,183.5,185.49,116078,2153146250000.0,6845.789044289044,40206,0.3464
2010-02-11,SRF,EQ,183.5,184.0,186.25,183.05,185.0,184.9,184.97,55439,1025452744999.9999,6845.789044289044,25276,0.4559
2010-02-15,SRF,EQ,184.9,180.25,185.7,170.0,184.0,183.5,183.83,45544,837242550000.0,6845.789044289044,22905,0.5029
2010-02-16,SRF,EQ,183.5,183.55,185.9,183.0,184.75,184.25,184.04,44606,820936425000.0,6845.789044289044,26864,0.6023
2010-02-17,SRF,EQ,184.25,185.0,187.95,184.05,185.0,185.75,186.15,126227,2349657665000.0,6845.789044289044,46145,0.36560000000000004
2010-02-18,SRF,EQ,185.75,184.55,186.2,183.35,184.3,183.85,184.36,43874,808854165000.0,6845.789044289044,19887,0.4533
2010-02-19,SRF,EQ,183.85,182.0,184.45,181.0,181.0,181.9,182.18,47538,866057130000.0001,6845.789044289044,22701,0.47750000000000004
2010-02-22,SRF,EQ,181.9,184.0,184.7,180.5,180.5,181.55,183.18,46649,854527475000.0,6845.789044289044,27396,0.5872999999999999
2010-02-23,SRF,EQ,181.55,182.4,186.9,180.65,181.15,182.25,184.42,345306,6368001630000.0,6845.789044289044,96685,0.28
2010-02-24,SRF,EQ,182.25,180.65,183.7,179.5,180.35,180.7,181.29,70439,1276969675000.0,6845.789044289044,34796,0.494
2010-02-25,SRF,EQ,180.7,181.45,182.35,177.0,177.2,178.45,179.77,74697,1342831530000.0,6845.789044289044,48810,0.6534000000000001
2010-02-26,SRF,EQ,178.45,178.5,181.4,176.8,178.1,178.1,179.22,188879,3385116929999.9995,6845.789044289044,87498,0.4632
2010-03-02,SRF,EQ,178.1,179.05,182.5,178.75,180.85,180.75,181.02,127990,2316828255000.0,6845.789044289044,67693,0.5289
2010-03-03,SRF,EQ,180.75,182.0,184.2,181.2,183.7,183.8,182.8,173008,3162577180000.0,6845.789044289044,99252,0.5737
2010-03-04,SRF,EQ,183.8,185.0,192.0,183.0,191.75,190.05,187.15,352950,6605516905000.0,6845.789044289044,224094,0.6349
2010-03-05,SRF,EQ,190.05,193.0,196.35,191.5,193.5,193.4,194.17,316857,6152409480000.0,6845.789044289044,157620,0.4974
2010-03-08,SRF,EQ,193.4,194.85,195.4,189.1,192.4,192.05,193.39,127315,2462148110000.0,6845.789044289044,73981,0.5811000000000001
2010-03-09,SRF,EQ,192.05,192.1,193.5,185.7,187.1,186.75,188.97,172993,3269033105000.0,6845.789044289044,108336,0.6262
2010-03-10,SRF,EQ,186.75,185.7,191.95,185.7,187.9,187.6,189.2,104148,1970467839999.9998,6845.789044289044,46131,0.4429
2010-03-11,SRF,EQ,187.6,188.6,191.1,185.7,187.7,186.95,189.12,103440,1956285000000.0,6845.789044289044,56130,0.5426
2010-03-12,SRF,EQ,186.95,188.0,189.45,185.05,186.25,185.85,186.53,61265,1142793845000.0,6845.789044289044,40685,0.6641
2010-03-15,SRF,EQ,185.85,186.6,186.6,182.05,184.0,182.9,183.73,45638,838519045000.0,6845.789044289044,26148,0.5729
2010-03-16,SRF,EQ,182.9,182.1,184.8,181.0,183.2,183.2,183.07,89359,1635933390000.0,6845.789044289044,44632,0.49950000000000006
2010-03-17,SRF,EQ,183.2,189.0,189.0,182.0,183.5,182.9,184.58,66853,1233991545000.0,6845.789044289044,41132,0.6153000000000001
2010-03-18,SRF,EQ,182.9,184.0,186.0,182.5,184.6,184.35,184.33,130580,2407012730000.0,6845.789044289044,68985,0.5283
2010-03-19,SRF,EQ,184.35,184.35,189.9,183.55,186.95,187.55,188.06,425946,8010401884999.999,6845.789044289044,176059,0.4133
2010-03-22,SRF,EQ,187.55,184.6,189.0,182.05,183.0,182.8,185.62,165915,3079694110000.0,6845.789044289044,122423,0.7379000000000001
2010-03-23,SRF,EQ,182.8,184.7,185.85,183.25,185.7,184.7,184.7,133704,2469463925000.0,6845.789044289044,75462,0.5644
2010-03-25,SRF,EQ,184.7,184.7,187.7,184.0,185.7,185.85,186.27,190357,3545850165000.0,6845.789044289044,117822,0.619
2010-03-26,SRF,EQ,185.85,185.0,189.4,185.0,187.2,187.0,187.66,264603,4965429590000.0,6845.789044289044,179784,0.6794
2010-03-29,SRF,EQ,187.0,187.95,194.0,186.0,192.0,190.55,191.61,508301,9739565185000.0,6845.789044289044,249469,0.4908
2010-03-30,SRF,EQ,190.55,192.55,195.0,192.55,194.5,194.35,194.2,322242,6258007405000.0,6845.789044289044,201939,0.6267
2010-03-31,SRF,EQ,194.35,192.9,200.5,192.9,197.7,197.55,198.26,418561,8298272765000.001,6845.789044289044,186035,0.44450000000000006
2010-04-01,SRF,EQ,197.55,198.2,204.3,198.2,203.7,203.3,202.09,436556,8822541545000.0,6845.789044289044,202634,0.4642
2010-04-05,SRF,EQ,203.3,201.0,208.5,201.0,207.5,207.5,206.98,379225,7849355945000.0,6845.789044289044,177344,0.4676
2010-04-06,SRF,EQ,207.5,208.9,210.45,205.1,209.8,208.5,208.1,403442,8395645325000.0,6845.789044289044,217805,0.5399
2010-04-07,SRF,EQ,208.5,210.4,213.95,208.55,213.5,213.05,211.94,413048,8754172865000.001,6845.789044289044,208444,0.5046
