Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,STAR,EQ,239.1,240.0,251.7,238.1,242.5,243.2,245.92,302202,7431648440000.001,12934.491841491841,113100,0.3743
2010-01-05,STAR,EQ,243.2,245.0,246.6,236.5,238.0,237.75,240.57,144183,3468572685000.0,12934.491841491841,80135,0.5558
2010-01-06,STAR,EQ,237.75,239.9,241.0,234.4,236.0,235.35,236.64,84671,2003674630000.0,12934.491841491841,49754,0.5876
2010-01-07,STAR,EQ,235.35,247.6,269.9,245.0,253.0,254.4,257.01,1767864,45436633220000.0,12934.491841491841,445485,0.252
2010-01-08,STAR,EQ,254.4,260.0,260.0,247.5,251.25,251.1,253.21,684057,17320948380000.002,12934.491841491841,199767,0.292
2010-01-11,STAR,EQ,251.1,252.05,255.0,246.0,247.2,247.7,249.62,232896,5813607000000.0,12934.491841491841,148613,0.6381
2010-01-12,STAR,EQ,247.7,243.3,249.35,237.1,239.45,238.4,242.72,202103,4905473585000.0,12934.491841491841,129402,0.6403
2010-01-13,STAR,EQ,238.4,235.1,244.45,232.3,239.3,239.85,236.79,1817376,43034481500000.0,12934.491841491841,1111340,0.6115
2010-01-14,STAR,EQ,239.85,244.0,255.9,241.7,251.2,251.1,250.05,883912,22102571330000.0,12934.491841491841,470110,0.5319
2010-01-15,STAR,EQ,251.1,252.95,262.45,250.5,261.45,259.9,258.3,680979,17589644540000.0,12934.491841491841,281345,0.4131
2010-01-18,STAR,EQ,259.9,258.0,287.6,250.6,272.25,274.7,276.78,1538921,42594232425000.0,12934.491841491841,466553,0.3032
2010-01-19,STAR,EQ,274.7,274.4,280.0,269.25,273.0,270.6,275.56,293014,8074215745000.0,12934.491841491841,130159,0.44420000000000004
2010-01-20,STAR,EQ,270.6,272.45,274.0,263.6,265.5,265.45,268.22,220430,5912356740000.0,12934.491841491841,124045,0.5627000000000001
2010-01-21,STAR,EQ,265.45,264.0,283.7,263.6,278.35,278.45,277.14,690256,19129582390000.0,12934.491841491841,306728,0.44439999999999996
2010-01-22,STAR,EQ,278.45,274.65,312.7,265.0,296.8,297.25,294.14,2405855,70766905675000.0,12934.491841491841,624497,0.2596
2010-01-25,STAR,EQ,297.25,296.0,309.5,292.25,295.0,295.05,301.33,944160,28450114625000.0,12934.491841491841,324218,0.34340000000000004
2010-01-27,STAR,EQ,295.05,289.9,298.4,263.0,266.1,268.5,281.35,1028904,28947839605000.0,12934.491841491841,310595,0.3019
2010-01-28,STAR,EQ,268.5,273.0,282.9,265.5,273.0,272.1,273.97,658811,18049337990000.0,12934.491841491841,261796,0.39740000000000003
2010-01-29,STAR,EQ,272.1,272.0,286.0,262.0,284.0,283.85,274.4,450040,12348973270000.0,12934.491841491841,187490,0.41659999999999997
2010-02-01,STAR,EQ,283.85,285.0,287.0,276.6,280.0,278.55,280.99,337008,9469745520000.0,12934.491841491841,119547,0.3547
2010-02-02,STAR,EQ,278.55,281.0,286.95,274.0,274.2,275.4,280.64,424378,11909733960000.0,12934.491841491841,184190,0.434
2010-02-03,STAR,EQ,275.4,278.75,283.4,275.0,278.85,277.4,279.75,308908,8641636265000.001,12934.491841491841,87348,0.2828
2010-02-04,STAR,EQ,277.4,278.0,278.85,265.8,270.0,268.0,273.06,234649,6407388770000.0,12934.491841491841,104051,0.4434
2010-02-05,STAR,EQ,268.0,260.1,267.0,255.2,255.5,256.85,261.05,238448,6224709400000.0,12934.491841491841,119587,0.5015
2010-02-06,STAR,EQ,256.85,259.85,266.4,259.85,264.4,264.4,263.32,39422,1038079010000.0,12934.491841491841,16729,0.4244
2010-02-08,STAR,EQ,264.4,268.8,276.9,257.3,273.8,274.1,268.44,380965,10226540930000.0,12934.491841491841,132807,0.3486
2010-02-09,STAR,EQ,274.1,273.5,318.4,270.55,309.55,309.9,295.63,1744745,51580408990000.0,12934.491841491841,467445,0.26789999999999997
2010-02-10,STAR,EQ,309.9,313.0,314.8,289.1,292.5,290.85,301.24,877645,26438093365000.0,12934.491841491841,227375,0.2591
2010-02-11,STAR,EQ,290.85,293.2,303.9,291.5,297.0,294.6,297.11,451886,13425979694999.998,12934.491841491841,101073,0.2237
2010-02-15,STAR,EQ,294.6,290.1,310.9,290.1,307.15,307.05,304.4,652238,19853877825000.0,12934.491841491841,159190,0.2441
2010-02-16,STAR,EQ,307.05,309.8,311.8,297.2,305.0,304.9,304.68,490422,14942156300000.0,12934.491841491841,128677,0.26239999999999997
2010-02-17,STAR,EQ,304.9,306.0,308.95,294.85,299.0,298.75,300.71,376592,11324581030000.0,12934.491841491841,183931,0.48840000000000006
2010-02-18,STAR,EQ,298.75,301.0,308.8,296.1,299.0,297.7,302.64,493457,14933862000000.0,12934.491841491841,144907,0.2937
2010-02-19,STAR,EQ,297.7,297.0,302.9,293.0,294.45,295.3,296.64,344489,10218755385000.0,12934.491841491841,112699,0.3271
2010-02-22,STAR,EQ,295.3,299.75,312.9,297.25,304.65,302.7,305.96,695965,21293937810000.0,12934.491841491841,185228,0.2661
2010-02-23,STAR,EQ,302.7,303.7,311.25,301.25,308.8,305.5,307.19,470237,14445351185000.0,12934.491841491841,109015,0.2318
2010-02-24,STAR,EQ,305.5,305.0,309.7,294.0,294.9,298.7,301.0,659022,19836523740000.0,12934.491841491841,231659,0.3515
2010-02-25,STAR,EQ,298.7,303.0,303.0,292.55,293.0,293.8,295.89,281592,8332069790000.001,12934.491841491841,86550,0.3074
2010-02-26,STAR,EQ,293.8,293.0,299.4,286.1,295.0,292.5,293.55,264125,7753336509999.999,12934.491841491841,87829,0.3325
2010-03-02,STAR,EQ,292.5,295.8,312.0,295.8,311.25,309.9,305.12,483637,14756755990000.0,12934.491841491841,168524,0.34850000000000003
2010-03-03,STAR,EQ,309.9,313.0,336.95,310.0,322.8,322.4,325.78,1742437,56764265525000.0,12934.491841491841,428582,0.24600000000000002
2010-03-04,STAR,EQ,322.4,324.9,329.35,320.1,324.3,324.3,325.12,703256,22864159435000.0,12934.491841491841,313114,0.44520000000000004
2010-03-05,STAR,EQ,324.3,328.95,330.8,317.0,319.0,318.85,323.02,300711,9713493680000.0,12934.491841491841,109574,0.3644
2010-03-08,STAR,EQ,318.85,321.0,332.7,320.0,331.25,330.05,326.76,328501,10734222830000.0,12934.491841491841,140422,0.4275
2010-03-09,STAR,EQ,330.05,333.0,339.5,326.25,328.0,327.85,331.67,1156632,38362080595000.0,12934.491841491841,606256,0.5242
2010-03-10,STAR,EQ,327.85,331.85,344.8,329.1,339.45,338.65,338.98,978224,33159777500000.0,12934.491841491841,345323,0.353
2010-03-11,STAR,EQ,338.65,339.65,341.0,330.0,333.0,331.65,334.49,283660,9488204465000.0,12934.491841491841,117143,0.413
2010-03-12,STAR,EQ,331.65,335.0,341.75,325.35,329.8,329.55,336.8,712809,24007535130000.0,12934.491841491841,212337,0.2979
2010-03-15,STAR,EQ,329.55,325.05,331.3,316.5,320.0,320.25,323.12,205168,6629360010000.0,12934.491841491841,88984,0.4337
2010-03-16,STAR,EQ,320.25,321.0,336.8,321.0,336.0,334.55,328.85,438127,14407851460000.0,12934.491841491841,92485,0.2111
2010-03-17,STAR,EQ,334.55,336.0,339.4,324.05,326.5,326.65,332.4,426177,14166215385000.0,12934.491841491841,141998,0.3332
2010-03-18,STAR,EQ,326.65,328.65,349.8,327.0,339.0,339.35,341.97,1234677,42222844375000.0,12934.491841491841,411249,0.3331
2010-03-19,STAR,EQ,339.35,344.5,357.5,336.5,352.0,351.4,348.52,1510734,52651760375000.0,12934.491841491841,475479,0.3147
2010-03-22,STAR,EQ,351.4,345.1,352.8,342.6,344.0,345.05,348.61,451042,15723612250000.0,12934.491841491841,184708,0.40950000000000003
