Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,SUNPHARMA,EQ,1508.8,1538.0,1538.0,1501.1,1508.55,1507.35,1511.91,83117,12566531150000.0,61505.342074592074,31334,0.37700000000000006
2010-01-05,SUNPHARMA,EQ,1507.35,1522.0,1558.8,1513.05,1555.0,1552.65,1531.06,123199,18862460580000.0,61505.342074592074,66181,0.5372
2010-01-06,SUNPHARMA,EQ,1552.65,1555.05,1581.5,1532.1,1570.0,1572.8,1564.88,188249,29458683920000.0,61505.342074592074,88243,0.46880000000000005
2010-01-07,SUNPHARMA,EQ,1572.8,1578.95,1578.95,1533.35,1540.0,1548.85,1557.3,92310,14375446035000.0,61505.342074592074,47152,0.5108
2010-01-08,SUNPHARMA,EQ,1548.85,1555.8,1605.0,1550.05,1569.2,1574.95,1580.61,329808,52129913245000.0,61505.342074592074,199675,0.6054
2010-01-11,SUNPHARMA,EQ,1574.95,1585.7,1594.4,1564.85,1575.5,1574.7,1574.19,103297,16260959380000.002,61505.342074592074,59965,0.5805
2010-01-12,SUNPHARMA,EQ,1574.7,1574.7,1589.8,1548.0,1577.7,1571.8,1566.87,153408,24036996550000.0,61505.342074592074,85602,0.5579999999999999
2010-01-13,SUNPHARMA,EQ,1571.8,1555.0,1573.65,1528.35,1550.0,1547.8,1546.32,93488,14456193630000.002,61505.342074592074,35306,0.37770000000000004
2010-01-14,SUNPHARMA,EQ,1547.8,1570.0,1581.0,1550.25,1557.0,1559.5,1562.41,152030,23753318875000.0,61505.342074592074,90966,0.5982999999999999
2010-01-15,SUNPHARMA,EQ,1559.5,1555.0,1567.5,1520.0,1524.0,1525.1,1532.75,116556,17865104570000.0,61505.342074592074,80548,0.6911
2010-01-18,SUNPHARMA,EQ,1525.1,1525.0,1547.85,1510.0,1515.0,1516.45,1531.49,156122,23909873060000.0,61505.342074592074,89692,0.5745
2010-01-19,SUNPHARMA,EQ,1516.45,1527.0,1527.0,1473.1,1480.15,1485.9,1498.69,85262,12778089780000.0,61505.342074592074,33398,0.39170000000000005
2010-01-20,SUNPHARMA,EQ,1485.9,1480.05,1493.8,1465.8,1477.0,1473.35,1475.16,159656,23551740180000.0,61505.342074592074,104560,0.6548999999999999
2010-01-21,SUNPHARMA,EQ,1473.35,1473.0,1493.8,1455.0,1455.0,1464.85,1481.64,141740,21000834065000.0,61505.342074592074,100107,0.7062999999999999
