Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,SUNTV,EQ,343.8,340.15,350.0,340.15,349.9,349.35,347.9,97817,3403038035000.0,24607.17948717949,49483,0.5059
2010-01-05,SUNTV,EQ,349.35,349.9,353.95,346.25,349.85,349.95,349.72,281910,9858838450000.0,24607.17948717949,239918,0.851
2010-01-06,SUNTV,EQ,349.95,351.0,354.0,345.05,347.0,347.45,348.44,94172,3281368645000.0,24607.17948717949,48687,0.517
2010-01-07,SUNTV,EQ,347.45,350.0,350.0,343.5,348.5,348.2,346.4,85619,2965857060000.0,24607.17948717949,52974,0.6187
2010-01-08,SUNTV,EQ,348.2,348.0,361.65,348.0,359.55,358.95,357.44,224908,8039127595000.0,24607.17948717949,51098,0.22719999999999999
2010-01-11,SUNTV,EQ,358.95,362.0,381.5,362.0,370.0,370.75,373.92,493602,18456590755000.0,24607.17948717949,278132,0.5635
2010-01-12,SUNTV,EQ,370.75,370.75,380.95,366.1,366.1,367.75,374.58,311285,11660065250000.0,24607.17948717949,118837,0.38180000000000003
2010-01-13,SUNTV,EQ,367.75,367.5,373.7,363.0,367.2,368.95,368.92,140815,5194900185000.0,24607.17948717949,24761,0.17579999999999998
2010-01-14,SUNTV,EQ,368.95,368.95,373.3,361.55,366.0,365.3,369.18,111782,4126800715000.0,24607.17948717949,62800,0.5618
2010-01-15,SUNTV,EQ,365.3,368.9,378.0,365.6,368.55,370.05,371.08,444387,16490423780000.002,24607.17948717949,327260,0.7364
2010-01-18,SUNTV,EQ,370.05,371.5,375.0,366.2,372.0,372.2,370.92,183273,6797955209999.999,24607.17948717949,135916,0.7415999999999999
2010-01-19,SUNTV,EQ,372.2,370.25,376.0,343.7,370.25,370.6,368.57,172605,6361766985000.0,24607.17948717949,142892,0.8279000000000001
2010-01-20,SUNTV,EQ,370.6,375.0,421.5,368.05,406.35,408.6,404.01,2525943,102049560980000.0,24607.17948717949,366392,0.1451
2010-01-21,SUNTV,EQ,408.6,390.0,411.05,382.25,392.0,392.6,398.97,581575,23202883810000.0,24607.17948717949,161496,0.2777
2010-01-22,SUNTV,EQ,392.6,388.0,409.0,377.0,381.1,380.25,389.03,977010,38008643990000.0,24607.17948717949,554607,0.5677000000000001
2010-01-25,SUNTV,EQ,380.25,385.0,391.0,371.3,380.0,380.0,379.66,266000,10099006535000.0,24607.17948717949,117782,0.4428
2010-01-27,SUNTV,EQ,380.0,379.9,381.7,366.15,370.0,370.1,371.52,151608,5632557435000.0,24607.17948717949,79422,0.5239
2010-01-28,SUNTV,EQ,370.1,374.0,395.0,367.6,388.3,386.55,378.75,220318,8344612055000.0,24607.17948717949,49847,0.2263
2010-01-29,SUNTV,EQ,386.55,380.0,389.95,373.0,385.05,386.5,380.7,143004,5444173665000.0,24607.17948717949,61428,0.42960000000000004
2010-02-01,SUNTV,EQ,386.5,383.75,404.8,373.4,398.95,400.45,393.72,172565,6794190180000.0,24607.17948717949,37057,0.2147
