Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,SUZLON,EQ,90.35,91.5,91.5,89.2,89.95,89.85,90.25,20730202,187086966335000.0,26620.291124260355,3570600,0.1722
2010-01-05,SUZLON,EQ,89.85,90.35,93.25,90.35,92.4,92.45,92.32,35407302,326877293105000.0,26620.291124260355,7342456,0.2074
2010-01-06,SUZLON,EQ,92.45,93.15,93.95,91.8,93.35,93.3,93.17,29648747,276230495500000.0,26620.291124260355,4839529,0.1632
2010-01-07,SUZLON,EQ,93.3,93.65,93.65,90.75,92.1,91.95,91.94,20001071,183897572330000.0,26620.291124260355,2858198,0.1429
2010-01-08,SUZLON,EQ,91.95,92.1,94.3,92.1,92.9,92.7,93.26,23576280,219861429610000.0,26620.291124260355,4175381,0.1771
2010-01-11,SUZLON,EQ,92.7,93.65,95.2,93.1,94.95,94.75,94.21,27231662,256537429790000.0,26620.291124260355,5218286,0.1916
2010-01-12,SUZLON,EQ,94.75,95.1,95.4,91.25,92.15,92.1,93.25,23086377,215279472310000.0,26620.291124260355,5098447,0.2208
2010-01-13,SUZLON,EQ,92.1,91.8,93.45,89.75,93.3,93.0,91.45,25450726,232753336275000.0,26620.291124260355,2676938,0.1052
2010-01-14,SUZLON,EQ,93.0,93.8,93.95,91.0,91.25,91.2,92.16,17697684,163106921950000.0,26620.291124260355,5255230,0.2969
2010-01-15,SUZLON,EQ,91.2,91.7,92.3,88.5,89.3,89.1,90.58,23408868,212028618285000.0,26620.291124260355,7582275,0.3239
2010-01-18,SUZLON,EQ,89.1,90.0,91.25,88.7,90.15,90.15,90.32,16488391,148925170995000.0,26620.291124260355,2724686,0.16519999999999999
2010-01-19,SUZLON,EQ,90.15,90.5,90.6,86.7,87.25,87.2,88.64,16112511,142817448090000.0,26620.291124260355,3650864,0.2266
2010-01-20,SUZLON,EQ,87.2,87.95,88.4,85.5,86.4,86.2,86.78,14723355,127765053705000.0,26620.291124260355,2827032,0.192
2010-01-21,SUZLON,EQ,86.2,85.6,86.1,82.35,82.8,82.8,83.87,25131185,210763739915000.0,26620.291124260355,7266480,0.2891
2010-01-22,SUZLON,EQ,82.8,81.0,81.45,78.1,79.7,79.4,79.72,30853187,245970877825000.0,26620.291124260355,7945250,0.2575
2010-01-25,SUZLON,EQ,79.4,80.0,80.0,75.5,75.55,76.05,77.09,25197594,194246115090000.0,26620.291124260355,8786912,0.34869999999999995
2010-01-27,SUZLON,EQ,76.05,75.0,77.9,72.0,72.75,73.2,75.66,35182648,266193783490000.0,26620.291124260355,7102782,0.20190000000000002
2010-01-28,SUZLON,EQ,73.2,75.5,76.45,72.8,75.05,74.4,74.5,29517713,219907236085000.0,26620.291124260355,9574247,0.32439999999999997
2010-01-29,SUZLON,EQ,74.4,73.85,77.8,72.05,77.3,77.25,75.07,28439965,213493425865000.0,26620.291124260355,5368774,0.1888
2010-02-01,SUZLON,EQ,77.25,77.5,79.6,76.15,78.9,78.55,78.39,32099103,251616212730000.03,26620.291124260355,4809829,0.14980000000000002
2010-02-02,SUZLON,EQ,78.55,79.5,80.35,75.6,76.0,76.15,78.32,30860370,241709334475000.0,26620.291124260355,5400696,0.17500000000000002
2010-02-03,SUZLON,EQ,76.15,76.5,78.4,76.5,77.3,77.3,77.52,16385269,127015340845000.0,26620.291124260355,2761800,0.1686
2010-02-04,SUZLON,EQ,77.3,77.45,77.45,72.85,73.6,73.25,74.84,20984377,157052480715000.0,26620.291124260355,5824146,0.2775
2010-02-05,SUZLON,EQ,73.25,70.6,72.6,69.05,71.2,71.4,71.15,27442552,195266367950000.0,26620.291124260355,5376516,0.1959
2010-02-06,SUZLON,EQ,71.4,71.5,74.25,71.5,73.25,73.25,72.85,3690868,26887932660000.004,26620.291124260355,1094142,0.2964
2010-02-08,SUZLON,EQ,73.25,74.0,75.5,71.7,75.1,75.0,73.73,23951216,176599483935000.0,26620.291124260355,3036035,0.1268
2010-02-09,SUZLON,EQ,75.0,74.9,75.35,73.1,73.65,73.75,73.89,15169432,112093761459999.98,26620.291124260355,2114759,0.1394
