Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,TATAMOTORS,EQ,791.55,789.9,829.0,789.3,827.05,826.45,815.65,5522060,450404397530000.0,96082.13694638695,1371877,0.2484
2010-01-05,TATAMOTORS,EQ,826.45,820.0,844.7,774.45,813.55,812.05,823.43,4683627,385662858320000.0,96082.13694638695,1205901,0.2575
2010-01-06,TATAMOTORS,EQ,812.05,819.7,823.4,805.1,813.9,813.3,814.75,2966347,241682337230000.03,96082.13694638695,572579,0.193
2010-01-07,TATAMOTORS,EQ,813.3,814.5,818.3,780.0,783.0,785.5,789.8,4496180,355108103765000.0,96082.13694638695,1103551,0.2454
2010-01-08,TATAMOTORS,EQ,785.5,790.0,804.8,785.05,789.25,789.8,794.78,3264144,259428624144999.97,96082.13694638695,614256,0.1882
2010-01-11,TATAMOTORS,EQ,789.8,799.0,799.0,782.25,791.0,790.15,790.04,2330275,184101669440000.0,96082.13694638695,680265,0.2919
2010-01-12,TATAMOTORS,EQ,790.15,788.0,797.0,781.05,787.25,786.3,788.9,2108807,166364386605000.0,96082.13694638695,374483,0.1776
2010-01-13,TATAMOTORS,EQ,786.3,785.0,794.4,772.1,786.1,784.95,782.91,3494394,273580359680000.03,96082.13694638695,879621,0.25170000000000003
2010-01-14,TATAMOTORS,EQ,784.95,786.0,792.3,779.55,780.5,782.15,785.0,1706935,133994141365000.02,96082.13694638695,466405,0.2732
2010-01-15,TATAMOTORS,EQ,782.15,783.0,803.5,775.0,797.0,797.2,792.46,3750935,297246658360000.0,96082.13694638695,768513,0.2049
2010-01-18,TATAMOTORS,EQ,797.2,793.65,813.7,785.25,812.0,810.85,803.86,3711513,298354181830000.0,96082.13694638695,754865,0.2034
2010-01-19,TATAMOTORS,EQ,810.85,813.0,818.8,802.05,808.0,806.7,811.1,2287394,185530704185000.0,96082.13694638695,645177,0.2821
2010-01-20,TATAMOTORS,EQ,806.7,810.0,812.4,799.05,799.9,804.95,805.17,2015455,162278710625000.0,96082.13694638695,632858,0.314
2010-01-21,TATAMOTORS,EQ,804.95,799.7,803.65,780.3,782.95,782.75,790.73,1838675,145389947315000.0,96082.13694638695,426751,0.2321
2010-01-22,TATAMOTORS,EQ,782.75,762.4,787.5,754.0,781.95,778.05,773.79,2512751,194434231270000.0,96082.13694638695,756405,0.30100000000000005
2010-01-25,TATAMOTORS,EQ,778.05,778.2,783.0,760.0,761.3,768.65,773.57,1671809,129326691790000.02,96082.13694638695,494446,0.2958
2010-01-27,TATAMOTORS,EQ,768.65,752.0,762.4,711.2,716.0,717.95,731.59,3184421,232969086994999.97,96082.13694638695,1090855,0.34259999999999996
2010-01-28,TATAMOTORS,EQ,717.95,725.0,734.65,702.25,716.3,711.1,718.71,5366454,385694696060000.0,96082.13694638695,1985564,0.37
2010-01-29,TATAMOTORS,EQ,711.1,705.0,711.8,671.5,692.2,694.35,691.24,4135524,285864210685000.0,96082.13694638695,794514,0.19210000000000002
2010-02-01,TATAMOTORS,EQ,694.35,687.7,723.35,678.35,717.45,719.85,703.89,4769256,335705157810000.0,96082.13694638695,713799,0.1497
2010-02-02,TATAMOTORS,EQ,719.85,730.0,740.0,705.05,706.1,709.45,722.29,4317482,311848608640000.0,96082.13694638695,1339605,0.3103
2010-02-03,TATAMOTORS,EQ,709.45,715.0,727.0,709.35,721.0,721.55,721.15,2308382,166469482700000.0,96082.13694638695,459950,0.1993
2010-02-04,TATAMOTORS,EQ,721.55,721.0,725.0,686.1,690.95,689.6,701.36,2842331,199348536240000.0,96082.13694638695,623702,0.2194
2010-02-05,TATAMOTORS,EQ,689.6,670.0,678.5,658.15,669.0,672.2,670.17,4402157,295020408015000.0,96082.13694638695,1306292,0.2967
2010-02-06,TATAMOTORS,EQ,672.2,675.0,682.5,675.0,680.2,680.2,679.17,326199,22154508570000.0,96082.13694638695,57306,0.1757
2010-02-08,TATAMOTORS,EQ,680.2,675.05,687.9,633.75,676.55,673.25,666.76,3433210,228911190490000.0,96082.13694638695,473968,0.1381
2010-02-09,TATAMOTORS,EQ,673.25,665.25,688.0,664.05,675.2,676.35,678.72,2648549,179762331810000.0,96082.13694638695,477019,0.1801
2010-02-10,TATAMOTORS,EQ,676.35,685.0,694.0,667.0,668.3,669.7,677.75,2660045,180283557455000.0,96082.13694638695,455001,0.1711
2010-02-11,TATAMOTORS,EQ,669.7,675.0,691.9,673.55,690.0,687.8,683.75,1998410,136640957945000.0,96082.13694638695,395237,0.1978
2010-02-15,TATAMOTORS,EQ,687.8,693.9,702.4,680.5,684.8,683.15,690.67,2403097,165974132125000.0,96082.13694638695,256395,0.1067
2010-02-16,TATAMOTORS,EQ,683.15,687.1,709.0,685.0,707.8,703.15,696.68,2023822,140995268620000.0,96082.13694638695,280693,0.1387
2010-02-17,TATAMOTORS,EQ,703.15,710.0,722.0,708.05,711.6,711.5,713.87,2477522,176862725870000.0,96082.13694638695,728228,0.2939
2010-02-18,TATAMOTORS,EQ,711.5,714.5,719.9,703.5,712.0,709.85,711.6,2346937,167008503170000.0,96082.13694638695,615653,0.26230000000000003
2010-02-19,TATAMOTORS,EQ,709.85,704.0,709.4,687.4,701.0,699.8,699.01,2505996,175170447750000.0,96082.13694638695,554623,0.2213
2010-02-22,TATAMOTORS,EQ,699.8,710.0,714.7,701.55,704.0,705.05,707.55,1719255,121645637025000.0,96082.13694638695,367986,0.214
2010-02-23,TATAMOTORS,EQ,705.05,699.0,711.9,695.0,701.8,699.7,701.63,2583150,181241184185000.0,96082.13694638695,757272,0.2932
2010-02-24,TATAMOTORS,EQ,699.7,692.0,698.35,675.0,683.0,684.45,684.32,3052857,208912403370000.0,96082.13694638695,1101978,0.36100000000000004
2010-02-25,TATAMOTORS,EQ,684.45,688.0,688.0,661.35,670.0,667.4,667.95,4692977,313467751645000.0,96082.13694638695,2052467,0.43729999999999997
2010-02-26,TATAMOTORS,EQ,667.4,665.0,720.65,665.0,715.55,711.2,698.45,5526509,385997807550000.0,96082.13694638695,911052,0.1649
2010-03-02,TATAMOTORS,EQ,711.2,720.0,807.6,720.0,806.6,798.05,780.75,9871959,770752314150000.0,96082.13694638695,2161586,0.219
2010-03-03,TATAMOTORS,EQ,798.05,810.0,813.95,795.2,811.1,809.25,805.44,6852223,551904097885000.06,96082.13694638695,827542,0.1208
2010-03-04,TATAMOTORS,EQ,809.25,808.9,829.7,799.15,808.0,813.0,814.5,7319326,596159896425000.0,96082.13694638695,1550204,0.2118
2010-03-05,TATAMOTORS,EQ,813.0,818.0,818.0,791.7,794.5,794.25,803.02,5344468,429169048070000.0,96082.13694638695,1264684,0.2366
2010-03-08,TATAMOTORS,EQ,794.25,800.0,817.1,793.15,794.4,797.65,802.17,4041502,324196122240000.0,96082.13694638695,1073678,0.2657
2010-03-09,TATAMOTORS,EQ,797.65,785.0,785.0,763.0,777.85,776.05,773.46,11411245,882609689604999.9,96082.13694638695,1655213,0.1451
2010-03-10,TATAMOTORS,EQ,776.05,778.0,792.8,775.45,780.0,778.75,784.27,4505879,353380543485000.0,96082.13694638695,751546,0.1668
2010-03-11,TATAMOTORS,EQ,778.75,780.0,782.8,766.75,771.1,770.4,772.92,2616947,202269707345000.0,96082.13694638695,544330,0.20800000000000002
2010-03-12,TATAMOTORS,EQ,770.4,773.0,779.05,758.85,761.2,760.9,767.69,3569436,274020669725000.0,96082.13694638695,1318684,0.3694
2010-03-15,TATAMOTORS,EQ,760.9,755.0,775.7,752.0,771.35,769.1,767.37,3471375,266381739085000.0,96082.13694638695,904816,0.2607
2010-03-16,TATAMOTORS,EQ,769.1,773.0,788.35,772.1,785.6,786.05,780.06,2849700,222294499740000.0,96082.13694638695,937956,0.32909999999999995
2010-03-17,TATAMOTORS,EQ,786.05,789.8,795.75,778.0,778.5,780.5,787.58,3721662,293111427595000.0,96082.13694638695,1030424,0.27690000000000003
2010-03-18,TATAMOTORS,EQ,780.5,782.7,789.0,774.2,781.0,780.3,779.53,2039936,159018386095000.0,96082.13694638695,512883,0.2514
2010-03-19,TATAMOTORS,EQ,780.3,775.5,786.45,775.0,782.55,783.65,782.44,1971117,154227276575000.0,96082.13694638695,605666,0.3073
2010-03-22,TATAMOTORS,EQ,783.65,777.0,783.25,758.6,759.95,760.2,770.47,3003303,231395582060000.0,96082.13694638695,1265082,0.42119999999999996
2010-03-23,TATAMOTORS,EQ,760.2,760.0,768.45,736.0,738.7,739.3,746.53,4765364,355749048015000.0,96082.13694638695,2037711,0.4276
2010-03-25,TATAMOTORS,EQ,739.3,745.0,753.0,714.25,724.4,725.2,723.02,8706893,629526039940000.0,96082.13694638695,3827863,0.4396
2010-03-26,TATAMOTORS,EQ,725.2,731.5,756.8,728.4,746.9,749.75,742.19,7802565,579095292275000.0,96082.13694638695,4036816,0.5174000000000001
2010-03-29,TATAMOTORS,EQ,749.75,753.1,759.5,735.05,740.55,740.6,744.05,5205702,387328731925000.0,96082.13694638695,2185643,0.41990000000000005
2010-03-30,TATAMOTORS,EQ,740.6,744.9,759.6,740.6,757.15,755.95,752.42,5530056,416093110540000.0,96082.13694638695,2235975,0.4043
2010-03-31,TATAMOTORS,EQ,755.95,758.0,766.5,751.2,755.5,757.7,758.67,3197088,242552607480000.03,96082.13694638695,888622,0.2779
