Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,TORNTPHARM,EQ,394.1,399.0,399.3,387.05,390.0,390.45,394.22,27489,1083679294999.9999,6600.187062937063,15570,0.5664
2010-01-05,TORNTPHARM,EQ,390.45,394.25,396.85,381.0,388.35,389.5,388.45,97616,3791926929999.9995,6600.187062937063,59473,0.6093000000000001
2010-01-06,TORNTPHARM,EQ,389.5,384.1,392.1,384.1,387.4,387.4,385.45,270275,10417798000000.0,6600.187062937063,236053,0.8734000000000001
2010-01-07,TORNTPHARM,EQ,387.4,392.0,406.0,384.1,405.05,397.35,393.43,101718,4001845365000.0,6600.187062937063,46783,0.45990000000000003
2010-01-08,TORNTPHARM,EQ,397.35,404.0,407.9,390.1,391.75,391.35,398.67,70355,2804870095000.0,6600.187062937063,42537,0.6046
2010-01-11,TORNTPHARM,EQ,391.35,392.4,399.5,385.0,386.0,386.4,390.96,70164,2743108860000.0,6600.187062937063,45854,0.6535
2010-01-12,TORNTPHARM,EQ,386.4,387.2,390.0,368.4,383.0,384.05,384.68,60601,2331198570000.0,6600.187062937063,28021,0.46240000000000003
2010-01-13,TORNTPHARM,EQ,384.05,383.0,388.0,380.0,387.05,386.7,384.2,45227,1737630970000.0,6600.187062937063,21704,0.47990000000000005
2010-01-14,TORNTPHARM,EQ,386.7,391.1,399.0,376.0,393.75,393.05,390.92,50797,1985762295000.0,6600.187062937063,27579,0.5429
2010-01-15,TORNTPHARM,EQ,393.05,393.75,414.95,392.2,411.0,409.9,406.97,199033,8099961000000.0,6600.187062937063,117196,0.5888
2010-01-18,TORNTPHARM,EQ,409.9,407.0,419.0,407.0,415.5,415.5,414.35,80594,3339382720000.0,6600.187062937063,38609,0.47909999999999997
2010-01-19,TORNTPHARM,EQ,415.5,411.0,434.0,411.0,425.0,421.75,424.41,127845,5425837230000.0,6600.187062937063,64155,0.5018
2010-01-20,TORNTPHARM,EQ,421.75,424.5,429.9,420.0,425.2,425.05,423.39,63474,2687407915000.0,6600.187062937063,41446,0.653
2010-01-21,TORNTPHARM,EQ,425.05,420.0,425.0,413.0,420.0,419.9,419.72,126038,5290092240000.0,6600.187062937063,101004,0.8014
2010-01-22,TORNTPHARM,EQ,419.9,400.1,412.0,381.05,412.0,405.85,400.34,80205,3210921735000.0,6600.187062937063,41414,0.5164
2010-01-25,TORNTPHARM,EQ,405.85,403.0,414.9,402.0,408.05,409.15,410.08,31023,1272202000000.0,6600.187062937063,13793,0.4446
2010-01-27,TORNTPHARM,EQ,409.15,409.15,426.0,400.0,425.0,423.1,419.26,204531,8575064859999.999,6600.187062937063,149011,0.7284999999999999
2010-01-28,TORNTPHARM,EQ,423.1,422.0,456.9,421.25,442.0,443.65,441.28,272590,12028814790000.0,6600.187062937063,84613,0.3104
2010-01-29,TORNTPHARM,EQ,443.65,444.0,448.0,425.7,448.0,443.8,436.97,67854,2965038690000.0,6600.187062937063,30409,0.4482
2010-02-01,TORNTPHARM,EQ,443.8,443.0,454.95,436.0,437.95,440.05,444.31,42164,1873399345000.0,6600.187062937063,18703,0.4436
2010-02-02,TORNTPHARM,EQ,440.05,444.4,447.0,425.0,430.0,429.2,436.29,18013,785887360000.0,6600.187062937063,6270,0.3481
2010-02-03,TORNTPHARM,EQ,429.2,429.2,446.0,429.2,445.0,442.7,438.17,33362,1461811320000.0,6600.187062937063,19828,0.5943
2010-02-04,TORNTPHARM,EQ,442.7,442.5,462.5,442.25,456.0,451.75,454.41,144306,6557347995000.0,6600.187062937063,80922,0.5608
