Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,TVSMOTOR,EQ,64.65,65.5,74.3,65.0,70.7,70.75,71.58,9628559,68924332615000.0,17432.627622377622,2417791,0.2511
2010-01-05,TVSMOTOR,EQ,70.75,72.0,73.0,70.25,70.6,70.75,71.72,2663880,19104779980000.0,17432.627622377622,828250,0.3109
2010-01-06,TVSMOTOR,EQ,70.75,71.5,71.5,67.5,68.05,68.05,69.11,1231219,8509468084999.999,17432.627622377622,549909,0.4466
2010-01-07,TVSMOTOR,EQ,68.05,68.1,68.5,66.5,67.5,67.35,67.39,1134434,7644664984999.999,17432.627622377622,458256,0.40399999999999997
2010-01-08,TVSMOTOR,EQ,67.35,67.8,69.15,67.1,68.1,67.9,68.24,982651,6705980195000.0,17432.627622377622,313515,0.3191
2010-01-11,TVSMOTOR,EQ,67.9,69.0,76.8,68.5,76.2,75.6,73.59,4970288,36578501915000.0,17432.627622377622,2286802,0.4601
2010-01-12,TVSMOTOR,EQ,75.6,76.0,78.8,73.1,77.4,77.2,76.99,5541757,42665119645000.0,17432.627622377622,1812637,0.3271
2010-01-13,TVSMOTOR,EQ,77.2,75.2,79.8,74.25,77.6,78.05,77.5,3642686,28231494870000.0,17432.627622377622,565883,0.1553
2010-01-14,TVSMOTOR,EQ,78.05,78.5,79.5,77.0,77.45,77.45,78.08,1286317,10044125100000.0,17432.627622377622,341709,0.2656
2010-01-15,TVSMOTOR,EQ,77.45,79.0,79.0,76.05,76.15,76.75,77.03,729462,5618687635000.0,17432.627622377622,234475,0.3214
2010-01-18,TVSMOTOR,EQ,76.75,76.75,78.2,75.6,77.2,77.05,76.81,738685,5673651250000.0,17432.627622377622,201680,0.273
2010-01-19,TVSMOTOR,EQ,77.05,77.1,78.0,76.15,77.3,77.35,77.24,864522,6677147980000.0,17432.627622377622,321756,0.3722
2010-01-20,TVSMOTOR,EQ,77.35,79.3,81.65,76.55,77.6,78.2,79.4,2778581,22062028925000.0,17432.627622377622,657174,0.2365
2010-01-21,TVSMOTOR,EQ,78.2,78.65,78.9,72.4,74.0,73.15,75.05,1213274,9106199805000.0,17432.627622377622,641300,0.5286
