Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,UBL,EQ,168.35,170.5,170.5,166.4,168.0,167.5,167.63,37493,628484485000.0,12671.166666666666,20970,0.5593
2010-01-05,UBL,EQ,167.5,168.5,178.4,168.5,172.0,171.75,175.25,199152,3490069285000.0,12671.166666666666,64875,0.3258
2010-01-06,UBL,EQ,171.75,172.0,174.15,171.05,171.9,172.2,172.77,55367,956565900000.0,12671.166666666666,25206,0.45530000000000004
2010-01-07,UBL,EQ,172.2,173.8,173.8,168.15,169.45,168.85,170.68,35618,607931760000.0,12671.166666666666,22562,0.6334000000000001
2010-01-08,UBL,EQ,168.85,169.0,172.0,165.5,167.45,167.0,169.5,26941,456663220000.0,12671.166666666666,11448,0.42490000000000006
2010-01-11,UBL,EQ,167.0,167.0,171.0,167.0,169.0,168.4,168.98,24686,417155940000.0,12671.166666666666,10996,0.4454
2010-01-12,UBL,EQ,168.4,170.0,170.65,168.0,168.25,168.2,169.27,53852,911570650000.0,12671.166666666666,38160,0.7086
2010-01-13,UBL,EQ,168.2,166.0,169.9,165.0,168.25,167.9,167.65,21691,363643380000.0,12671.166666666666,9638,0.44430000000000003
2010-01-14,UBL,EQ,167.9,169.85,173.0,167.0,167.5,167.75,170.62,60026,1024135265000.0,12671.166666666666,37120,0.6184000000000001
2010-01-15,UBL,EQ,167.75,170.0,170.95,169.0,170.2,170.15,169.97,38078,647197230000.0,12671.166666666666,33872,0.8895000000000001
2010-01-18,UBL,EQ,170.15,169.5,176.45,168.05,172.0,172.85,173.77,118956,2067117839999.9998,12671.166666666666,88926,0.7476
2010-01-19,UBL,EQ,172.85,175.0,175.0,167.0,167.0,167.7,169.94,29106,494615684999.99994,12671.166666666666,16098,0.5531
2010-01-20,UBL,EQ,167.7,168.5,172.0,167.55,169.55,169.25,169.45,22085,374230780000.0,12671.166666666666,13549,0.6135
2010-01-21,UBL,EQ,169.25,169.5,169.8,161.4,162.0,162.7,165.12,22026,363692160000.0,12671.166666666666,15155,0.6881
2010-01-22,UBL,EQ,162.7,162.0,167.0,155.0,164.6,163.9,161.82,40131,649399245000.0,12671.166666666666,19920,0.4964
2010-01-25,UBL,EQ,163.9,166.85,169.95,156.0,157.5,157.9,162.42,46289,751833690000.0,12671.166666666666,18380,0.3971
2010-01-27,UBL,EQ,157.9,155.0,158.8,150.0,150.0,150.65,154.0,39132,602650715000.0,12671.166666666666,15732,0.402
2010-01-28,UBL,EQ,150.65,153.8,154.7,147.0,149.0,148.3,150.8,28072,423333620000.0,12671.166666666666,16476,0.5869
2010-01-29,UBL,EQ,148.3,148.3,151.0,143.35,150.0,148.75,147.26,33483,493076309999.99994,12671.166666666666,14699,0.439
2010-02-01,UBL,EQ,148.75,149.85,158.0,148.5,155.05,155.2,154.39,30774,475109534999.99994,12671.166666666666,12652,0.4111
2010-02-02,UBL,EQ,155.2,156.2,163.5,152.0,154.0,153.25,156.7,18906,296254870000.0,12671.166666666666,7355,0.389
2010-02-03,UBL,EQ,153.25,155.0,166.0,154.05,163.0,161.55,160.95,48093,774047215000.0,12671.166666666666,18800,0.3909
2010-02-04,UBL,EQ,161.55,159.0,172.5,156.0,172.0,171.85,170.58,658053,11224809425000.0,12671.166666666666,621462,0.9444
2010-02-05,UBL,EQ,171.85,169.0,181.9,161.0,179.0,179.65,178.24,780417,13910515150000.0,12671.166666666666,702449,0.9001000000000001
2010-02-06,UBL,EQ,179.65,174.5,181.95,171.95,174.5,174.5,176.83,26588,470155630000.0,12671.166666666666,11013,0.4142
2010-02-08,UBL,EQ,174.5,173.0,173.9,162.8,167.0,167.25,166.34,110044,1830482030000.0,12671.166666666666,54003,0.4907
2010-02-09,UBL,EQ,167.25,167.05,173.0,165.2,166.3,166.6,169.06,40748,688904960000.0,12671.166666666666,17533,0.4303
2010-02-10,UBL,EQ,166.6,168.0,175.25,166.95,173.25,172.8,170.96,51605,882216050000.0,12671.166666666666,35510,0.6881
2010-02-11,UBL,EQ,172.8,171.15,178.0,168.0,173.1,175.15,173.79,45408,789144605000.0,12671.166666666666,25131,0.5534
2010-02-15,UBL,EQ,175.15,174.0,178.8,168.0,168.1,169.1,172.31,12449,214505900000.0,12671.166666666666,6169,0.4955
2010-02-16,UBL,EQ,169.1,172.0,173.5,167.1,167.4,167.9,169.31,15191,257193354999.99997,12671.166666666666,8454,0.5565
2010-02-17,UBL,EQ,167.9,170.0,174.9,168.25,168.4,169.25,172.34,42410,730913535000.0,12671.166666666666,15016,0.35409999999999997
2010-02-18,UBL,EQ,169.25,168.0,178.5,167.0,175.55,175.95,174.73,70755,1236318055000.0,12671.166666666666,42264,0.5972999999999999
2010-02-19,UBL,EQ,175.95,178.0,178.0,169.1,175.0,174.25,173.02,43106,745830310000.0,12671.166666666666,17191,0.39880000000000004
2010-02-22,UBL,EQ,174.25,174.25,176.2,168.1,172.8,171.75,172.36,23330,402118780000.0,12671.166666666666,14069,0.603
2010-02-23,UBL,EQ,171.75,170.0,172.45,168.0,169.05,170.0,170.11,26676,453783859999.99994,12671.166666666666,15566,0.5835
2010-02-24,UBL,EQ,170.0,171.0,172.95,168.5,169.0,169.4,170.36,16250,276835375000.0,12671.166666666666,6036,0.3714
2010-02-25,UBL,EQ,169.4,169.8,180.0,169.8,178.0,179.85,179.79,1230502,22123411695000.0,12671.166666666666,1221642,0.9928
2010-02-26,UBL,EQ,179.85,182.0,184.0,177.0,178.0,180.15,180.07,729973,13144655100000.0,12671.166666666666,654757,0.897
2010-03-02,UBL,EQ,180.15,180.2,181.5,176.25,180.0,180.4,179.09,38551,690413310000.0,12671.166666666666,27832,0.7220000000000001
2010-03-03,UBL,EQ,180.4,180.9,184.0,179.75,180.35,181.3,181.43,27544,499722305000.0,12671.166666666666,15568,0.5652
2010-03-04,UBL,EQ,181.3,180.15,188.7,179.0,183.0,183.9,184.82,79113,1462200045000.0,12671.166666666666,25808,0.3262
2010-03-05,UBL,EQ,183.9,185.0,199.95,182.1,183.0,184.55,193.14,205421,3967516775000.0,12671.166666666666,64881,0.31579999999999997
2010-03-08,UBL,EQ,184.55,185.5,191.65,183.2,185.15,185.0,188.74,83217,1570644750000.0,12671.166666666666,53968,0.6485
2010-03-09,UBL,EQ,185.0,187.5,188.4,182.05,186.15,186.15,185.24,42944,795501195000.0,12671.166666666666,29292,0.6820999999999999
2010-03-10,UBL,EQ,186.15,183.0,188.0,180.5,185.0,185.4,185.62,15442,286639400000.0,12671.166666666666,5282,0.3421
2010-03-11,UBL,EQ,185.4,185.0,186.5,179.0,181.0,183.1,182.74,53093,970215315000.0,12671.166666666666,34113,0.6425
2010-03-12,UBL,EQ,183.1,183.95,184.95,182.35,184.0,184.75,184.22,25191,464081145000.0,12671.166666666666,19402,0.7702
2010-03-15,UBL,EQ,184.75,185.85,188.0,181.15,185.0,185.35,184.57,31947,589657825000.0,12671.166666666666,20008,0.6263000000000001
2010-03-16,UBL,EQ,185.35,183.1,188.0,183.0,184.25,185.85,185.36,33010,611865585000.0,12671.166666666666,20671,0.6262
2010-03-17,UBL,EQ,185.85,187.0,188.0,183.2,185.0,186.6,185.36,28453,527395425000.0,12671.166666666666,14774,0.5192
2010-03-18,UBL,EQ,186.6,185.0,187.0,185.0,185.0,185.2,185.75,8659,160839255000.0,12671.166666666666,5545,0.6404000000000001
2010-03-19,UBL,EQ,185.2,186.9,186.95,184.75,185.05,185.15,185.54,11621,215618165000.0,12671.166666666666,7108,0.6117
2010-03-22,UBL,EQ,185.15,186.0,187.5,183.65,185.0,185.3,185.22,73137,1354640685000.0,12671.166666666666,60937,0.8331999999999999
2010-03-23,UBL,EQ,185.3,185.95,187.5,183.8,185.0,184.7,186.83,142462,2661595305000.0,12671.166666666666,137141,0.9626000000000001
2010-03-25,UBL,EQ,184.7,184.7,192.95,183.8,188.0,190.3,188.88,36635,691979470000.0,12671.166666666666,23442,0.6399
2010-03-26,UBL,EQ,190.3,190.0,195.0,187.25,192.0,192.9,192.59,82519,1589250245000.0,12671.166666666666,45511,0.5515
2010-03-29,UBL,EQ,192.9,195.0,196.0,190.05,195.0,194.1,193.72,33381,646642050000.0,12671.166666666666,26560,0.7957
2010-03-30,UBL,EQ,194.1,196.5,196.5,189.1,192.55,194.65,194.65,337349,6566506680000.0,12671.166666666666,317983,0.9426000000000001
2010-03-31,UBL,EQ,194.65,193.2,195.95,189.0,191.3,191.9,191.68,70851,1358101710000.0,12671.166666666666,63432,0.8953
2010-04-01,UBL,EQ,191.9,193.9,195.0,191.7,191.7,192.6,193.21,29251,565162780000.0,12671.166666666666,18740,0.6406999999999999
2010-04-05,UBL,EQ,192.6,194.0,198.65,193.35,197.45,197.95,197.8,233376,4616137575000.0,12671.166666666666,219466,0.9404000000000001
2010-04-06,UBL,EQ,197.95,198.6,204.9,196.0,201.2,201.0,200.57,66824,1340291115000.0,12671.166666666666,34249,0.5125
