Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,VGUARD,EQ,89.05,89.9,90.9,89.05,90.25,89.95,90.08,151326,1363199135000.0,4712.801864801865,88561,0.5852
2010-01-05,VGUARD,EQ,89.95,90.0,91.2,89.0,89.05,89.15,89.78,142247,1277126495000.0,4712.801864801865,99221,0.6975
2010-01-06,VGUARD,EQ,89.15,88.5,90.05,88.2,88.5,88.6,89.08,85027,757442685000.0,4712.801864801865,46896,0.5515
2010-01-07,VGUARD,EQ,88.6,89.25,90.85,88.5,89.45,89.35,89.52,98491,881662565000.0,4712.801864801865,49976,0.5074000000000001
2010-01-08,VGUARD,EQ,89.35,88.15,92.5,88.15,90.35,90.1,91.05,336171,3060762960000.0,4712.801864801865,130905,0.38939999999999997
2010-01-11,VGUARD,EQ,90.1,90.5,91.4,90.0,90.8,90.4,90.66,93284,845673615000.0,4712.801864801865,48056,0.5152
2010-01-12,VGUARD,EQ,90.4,91.0,92.5,89.5,90.0,90.15,91.13,199636,1819187739999.9998,4712.801864801865,85230,0.4269
2010-01-13,VGUARD,EQ,90.15,88.3,91.25,82.2,90.4,90.15,90.24,103647,935279215000.0,4712.801864801865,47443,0.45770000000000005
2010-01-14,VGUARD,EQ,90.15,90.15,94.4,90.15,91.5,91.65,92.58,318912,2952401175000.0,4712.801864801865,111706,0.3503
2010-01-15,VGUARD,EQ,91.65,91.3,94.6,91.05,93.6,93.4,92.76,277448,2573521450000.0,4712.801864801865,113214,0.4081
2010-01-18,VGUARD,EQ,93.4,93.6,95.0,93.0,94.4,94.0,94.3,291365,2747668425000.0,4712.801864801865,118915,0.4081
2010-01-19,VGUARD,EQ,94.0,93.15,95.0,90.8,91.4,91.35,93.21,168566,1571215565000.0,4712.801864801865,93676,0.5557
2010-01-20,VGUARD,EQ,91.35,94.25,94.25,90.0,90.5,90.6,91.23,112638,1027634605000.0001,4712.801864801865,61741,0.5481
2010-01-21,VGUARD,EQ,90.6,90.7,91.85,87.5,88.0,88.1,89.69,177237,1589700180000.0,4712.801864801865,75642,0.4268
2010-01-22,VGUARD,EQ,88.1,86.1,87.3,83.25,86.0,86.35,85.27,153597,1309684190000.0,4712.801864801865,73803,0.4805
2010-01-25,VGUARD,EQ,86.35,88.0,89.65,85.1,87.2,87.45,87.83,142026,1247370440000.0,4712.801864801865,56545,0.3981
2010-01-27,VGUARD,EQ,87.45,87.5,87.8,82.5,82.8,83.4,85.35,93598,798847320000.0,4712.801864801865,51461,0.5498
2010-01-28,VGUARD,EQ,83.4,84.4,86.8,83.15,84.1,84.2,84.47,71492,603865290000.0,4712.801864801865,29862,0.4177
2010-01-29,VGUARD,EQ,84.2,83.65,84.75,81.7,83.65,83.75,83.18,104442,868698930000.0001,4712.801864801865,42019,0.4023
2010-02-01,VGUARD,EQ,83.75,86.7,87.85,84.9,87.4,87.3,86.99,120253,1046030805000.0001,4712.801864801865,45701,0.38
2010-02-02,VGUARD,EQ,87.3,89.9,90.9,85.5,86.35,86.7,87.87,61052,536436995000.0,4712.801864801865,30401,0.498
2010-02-03,VGUARD,EQ,86.7,87.2,88.5,86.3,86.55,86.6,87.33,65718,573912550000.0,4712.801864801865,20679,0.3147
2010-02-04,VGUARD,EQ,86.6,86.75,88.95,85.15,85.75,85.75,87.69,117666,1031811490000.0,4712.801864801865,26307,0.2236
2010-02-05,VGUARD,EQ,85.75,84.3,84.3,80.95,83.0,82.85,82.98,67520,560274870000.0,4712.801864801865,40214,0.5956
2010-02-06,VGUARD,EQ,82.85,85.8,85.8,83.3,83.8,83.8,83.91,12072,101296745000.0,4712.801864801865,8608,0.7131000000000001
2010-02-08,VGUARD,EQ,83.8,84.0,85.4,83.0,83.95,83.7,84.13,32897,276755275000.0,4712.801864801865,16865,0.5127
2010-02-09,VGUARD,EQ,83.7,84.1,85.65,83.55,84.1,84.0,84.47,38519,325387065000.0,4712.801864801865,14234,0.36950000000000005
2010-02-10,VGUARD,EQ,84.0,84.15,84.95,83.15,83.25,83.9,84.4,34307,289540600000.0,4712.801864801865,19328,0.5634
2010-02-11,VGUARD,EQ,83.9,83.65,86.35,83.65,84.7,85.5,85.07,51401,437254065000.00006,4712.801864801865,16598,0.3229
2010-02-15,VGUARD,EQ,85.5,85.45,85.9,83.65,83.65,84.05,84.92,40838,346812305000.0,4712.801864801865,12798,0.3134
2010-02-16,VGUARD,EQ,84.05,84.1,85.0,83.85,84.6,84.25,84.39,21023,177422695000.0,4712.801864801865,8451,0.402
2010-02-17,VGUARD,EQ,84.25,84.75,85.6,84.15,84.5,84.6,84.93,22675,192568165000.0,4712.801864801865,10752,0.4742
2010-02-18,VGUARD,EQ,84.6,84.7,85.35,84.1,84.25,84.25,84.81,37299,316316125000.0,4712.801864801865,18326,0.4913
2010-02-19,VGUARD,EQ,84.25,83.1,84.45,82.0,82.8,83.0,83.15,27580,229322800000.0,4712.801864801865,15068,0.5463
2010-02-22,VGUARD,EQ,83.0,85.15,85.15,82.3,82.95,82.7,83.79,24019,201250420000.0,4712.801864801865,14350,0.5974
2010-02-23,VGUARD,EQ,82.7,82.6,82.6,80.5,80.6,80.9,81.44,36882,300350895000.0,4712.801864801865,25084,0.6801
2010-02-24,VGUARD,EQ,80.9,81.65,81.95,79.65,79.85,80.1,80.35,34069,273760620000.00003,4712.801864801865,23051,0.6766
2010-02-25,VGUARD,EQ,80.1,80.05,81.0,79.85,80.9,80.7,80.51,25409,204564465000.0,4712.801864801865,14347,0.5646
2010-02-26,VGUARD,EQ,80.7,80.95,85.0,80.3,84.9,84.3,83.37,91502,762884970000.0,4712.801864801865,64406,0.7039
2010-03-02,VGUARD,EQ,84.3,85.0,89.4,85.0,87.6,87.8,87.66,140540,1232011570000.0,4712.801864801865,64327,0.45770000000000005
2010-03-03,VGUARD,EQ,87.8,87.8,91.2,87.8,91.2,90.5,89.89,136353,1225630440000.0,4712.801864801865,83185,0.6101
2010-03-04,VGUARD,EQ,90.5,91.9,91.9,88.65,89.6,90.0,89.61,61926,554918160000.0,4712.801864801865,31454,0.5079
2010-03-05,VGUARD,EQ,90.0,90.6,91.5,88.65,89.0,89.45,90.0,63606,572451185000.0,4712.801864801865,33917,0.5332
2010-03-08,VGUARD,EQ,89.45,90.0,90.9,89.0,89.0,89.15,89.63,45895,411353135000.0,4712.801864801865,27761,0.6049
2010-03-09,VGUARD,EQ,89.15,89.15,92.45,87.75,90.9,91.7,91.15,238303,2172220750000.0,4712.801864801865,78935,0.3312
2010-03-10,VGUARD,EQ,91.7,92.3,93.85,90.1,90.25,90.6,91.96,177464,1631900500000.0,4712.801864801865,82696,0.466
2010-03-11,VGUARD,EQ,90.6,90.65,93.2,90.55,91.2,90.85,91.98,190285,1750191510000.0002,4712.801864801865,59006,0.31010000000000004
2010-03-12,VGUARD,EQ,90.85,91.85,92.0,90.3,91.05,91.35,91.18,79142,721644610000.0,4712.801864801865,49398,0.6242
2010-03-15,VGUARD,EQ,91.35,90.5,94.8,90.5,91.9,92.15,93.23,423333,3946616335000.0,4712.801864801865,106342,0.25120000000000003
2010-03-16,VGUARD,EQ,92.15,92.6,93.8,92.2,92.2,92.7,92.97,95302,886053830000.0001,4712.801864801865,37105,0.3893
2010-03-17,VGUARD,EQ,92.7,93.0,93.65,91.55,91.75,91.7,92.47,71020,656743555000.0,4712.801864801865,42246,0.5948
2010-03-18,VGUARD,EQ,91.7,90.05,92.45,90.05,90.85,90.85,91.38,39654,362373355000.0,4712.801864801865,22276,0.5618
2010-03-19,VGUARD,EQ,90.85,91.5,92.9,90.55,90.9,91.0,91.9,93115,855708875000.0,4712.801864801865,45596,0.4897
2010-03-22,VGUARD,EQ,91.0,88.15,92.95,88.05,89.9,89.5,91.29,186237,1700198475000.0,4712.801864801865,51715,0.2777
2010-03-23,VGUARD,EQ,89.5,91.3,91.4,89.05,89.3,89.45,90.02,52812,475392825000.0,4712.801864801865,25487,0.4826
2010-03-25,VGUARD,EQ,89.45,89.0,91.5,89.0,89.0,89.35,89.82,44749,401925230000.0,4712.801864801865,26492,0.5920000000000001
2010-03-26,VGUARD,EQ,89.35,90.25,91.8,89.05,89.1,89.45,90.01,46207,415924260000.0,4712.801864801865,16412,0.3552
2010-03-29,VGUARD,EQ,89.45,90.05,90.95,88.4,88.75,88.65,89.2,28561,254762165000.0,4712.801864801865,17813,0.6237
2010-03-30,VGUARD,EQ,88.65,89.0,89.95,88.55,89.2,89.2,89.38,50736,453492550000.0,4712.801864801865,28628,0.5643
2010-03-31,VGUARD,EQ,89.2,89.1,91.4,88.2,88.45,88.65,89.62,80387,720409980000.0,4712.801864801865,31851,0.3962
2010-04-01,VGUARD,EQ,88.65,88.65,97.5,88.2,96.6,96.65,95.98,1873017,17977598040000.0,4712.801864801865,424685,0.2267
2010-04-05,VGUARD,EQ,96.65,97.7,100.5,96.6,98.65,98.55,99.17,812447,8056791384999.999,4712.801864801865,226910,0.2793
2010-04-06,VGUARD,EQ,98.55,98.7,108.8,98.7,106.1,106.0,105.46,1638490,17279671360000.0,4712.801864801865,430818,0.2629
2010-04-07,VGUARD,EQ,106.0,107.1,108.8,103.1,104.5,104.5,106.33,582784,6196514795000.0,4712.801864801865,244325,0.4192
2010-04-08,VGUARD,EQ,104.5,105.0,108.0,103.1,103.7,103.55,105.43,248222,2617112105000.0,4712.801864801865,84333,0.3397
2010-04-09,VGUARD,EQ,103.55,103.5,105.75,101.5,102.1,102.1,103.34,133781,1382544735000.0,4712.801864801865,60853,0.4549
2010-04-12,VGUARD,EQ,102.1,103.0,105.8,102.4,103.25,102.9,103.9,171790,1784954955000.0,4712.801864801865,63708,0.37079999999999996
2010-04-13,VGUARD,EQ,102.9,103.0,103.8,100.3,100.95,101.05,102.13,105508,1077517750000.0,4712.801864801865,46804,0.4436
2010-04-15,VGUARD,EQ,101.05,103.3,103.95,99.15,100.6,100.0,101.23,88066,891455680000.0001,4712.801864801865,46488,0.5279
2010-04-16,VGUARD,EQ,100.0,98.0,106.3,98.0,102.6,102.85,103.17,459920,4744954005000.0,4712.801864801865,89009,0.1935
2010-04-19,VGUARD,EQ,102.85,102.0,102.85,99.55,100.4,100.55,101.1,189861,1919502995000.0,4712.801864801865,55118,0.2903
2010-04-20,VGUARD,EQ,100.55,101.25,104.5,101.25,102.3,102.25,103.04,245522,2529823895000.0,4712.801864801865,65164,0.26539999999999997
2010-04-21,VGUARD,EQ,102.25,103.95,104.7,102.5,103.3,103.35,103.79,135240,1403597170000.0,4712.801864801865,62651,0.4633
2010-04-22,VGUARD,EQ,103.35,102.55,106.4,102.5,103.0,103.5,104.67,185708,1943778825000.0,4712.801864801865,82043,0.4418
2010-04-23,VGUARD,EQ,103.5,104.95,106.35,103.6,104.0,104.4,104.91,220475,2313110040000.0,4712.801864801865,89548,0.4062
2010-04-26,VGUARD,EQ,104.4,105.3,109.25,105.0,106.5,106.1,107.19,266332,2854929680000.0,4712.801864801865,106937,0.40149999999999997
2010-04-27,VGUARD,EQ,106.1,106.5,109.75,106.0,108.05,108.95,108.35,438562,4751977180000.0,4712.801864801865,156136,0.35600000000000004
2010-04-28,VGUARD,EQ,108.95,107.9,112.0,105.05,105.5,105.65,108.51,440500,4779986955000.0,4712.801864801865,152785,0.3468
2010-04-29,VGUARD,EQ,105.65,107.75,108.2,106.0,107.4,107.35,107.17,147123,1576743170000.0,4712.801864801865,51466,0.3498
2010-04-30,VGUARD,EQ,107.35,109.5,109.75,105.6,106.3,106.25,107.98,202741,2189178420000.0,4712.801864801865,76859,0.3791
2010-05-03,VGUARD,EQ,106.25,106.1,107.1,103.6,104.45,104.0,104.8,121029,1268411070000.0,4712.801864801865,70699,0.5841
2010-05-04,VGUARD,EQ,104.0,104.5,105.45,100.65,101.0,101.0,102.76,120931,1242682295000.0,4712.801864801865,69279,0.5729
2010-05-05,VGUARD,EQ,101.0,99.0,102.2,97.6,101.75,101.1,99.65,179582,1789459195000.0,4712.801864801865,53128,0.2958
2010-05-06,VGUARD,EQ,101.1,99.3,103.45,99.05,100.25,100.85,101.08,105799,1069365600000.0,4712.801864801865,42968,0.4061
2010-05-07,VGUARD,EQ,100.85,97.2,99.0,96.5,96.75,96.95,98.04,144174,1413422580000.0,4712.801864801865,70549,0.4893
2010-05-10,VGUARD,EQ,96.95,98.0,100.65,96.05,99.65,100.05,99.09,112097,1110724075000.0,4712.801864801865,50041,0.4464
2010-05-11,VGUARD,EQ,100.05,101.0,101.95,98.2,98.6,98.5,99.84,73003,728832955000.0,4712.801864801865,37078,0.5079
2010-05-12,VGUARD,EQ,98.5,99.8,99.9,97.5,98.0,98.2,98.63,49193,485190830000.0,4712.801864801865,22485,0.4571
2010-05-13,VGUARD,EQ,98.2,99.0,100.0,97.0,97.3,97.35,98.49,110311,1086410925000.0,4712.801864801865,60787,0.5511
2010-05-14,VGUARD,EQ,97.35,97.15,99.15,96.2,97.5,96.7,97.53,90839,885980315000.0,4712.801864801865,51806,0.5703
2010-05-17,VGUARD,EQ,96.7,96.05,96.05,93.95,95.0,94.85,94.77,58953,558696215000.0,4712.801864801865,30097,0.5105
2010-05-18,VGUARD,EQ,94.85,97.5,101.95,95.5,100.35,99.85,99.37,284504,2827202745000.0,4712.801864801865,97861,0.344
2010-05-19,VGUARD,EQ,99.85,101.0,102.7,97.6,97.95,98.0,100.19,189898,1902642605000.0,4712.801864801865,66745,0.3515
2010-05-20,VGUARD,EQ,98.0,98.2,100.4,96.6,97.5,97.4,98.05,67262,659478485000.0,4712.801864801865,30747,0.4571
2010-05-21,VGUARD,EQ,97.4,95.0,96.5,94.8,95.85,95.9,95.68,60592,579773005000.0,4712.801864801865,29785,0.4916
2010-05-24,VGUARD,EQ,95.9,98.9,99.95,97.05,97.35,97.5,98.6,122167,1204610945000.0,4712.801864801865,26245,0.21480000000000002
2010-05-25,VGUARD,EQ,97.5,95.7,97.0,93.0,93.0,93.25,94.24,84272,794184255000.0,4712.801864801865,57218,0.679
2010-05-26,VGUARD,EQ,93.25,94.1,96.1,92.3,94.2,94.4,94.25,81338,766632600000.0,4712.801864801865,32857,0.40399999999999997
2010-05-27,VGUARD,EQ,94.4,93.15,95.7,93.1,95.6,95.45,94.88,42706,405198295000.0,4712.801864801865,12946,0.3031
2010-05-28,VGUARD,EQ,95.45,96.5,97.5,96.0,96.6,96.55,96.73,76184,736922600000.0,4712.801864801865,33673,0.44200000000000006
2010-05-31,VGUARD,EQ,96.55,98.8,99.95,96.7,98.45,98.3,98.74,125436,1238532320000.0,4712.801864801865,62243,0.4962
2010-06-01,VGUARD,EQ,98.3,99.5,100.2,95.25,95.85,95.9,98.21,106601,1046940385000.0,4712.801864801865,40762,0.3824
