Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,WOCKPHARMA,EQ,172.6,174.95,178.4,172.45,174.35,174.05,175.49,140064,2457993960000.0,29903.849151477058,39156,0.2796
2010-01-05,WOCKPHARMA,EQ,174.05,175.85,176.5,173.7,175.0,174.25,174.85,83566,1461124505000.0,29903.849151477058,40941,0.48990000000000006
2010-01-06,WOCKPHARMA,EQ,174.25,175.65,178.45,173.55,176.25,176.25,176.21,155385,2738028710000.0,29903.849151477058,62884,0.4047
2010-01-07,WOCKPHARMA,EQ,176.25,179.0,186.0,179.0,181.8,181.55,183.54,628803,11541325550000.0,29903.849151477058,254473,0.4047
2010-01-08,WOCKPHARMA,EQ,181.55,183.8,183.8,180.0,181.55,181.3,181.56,114273,2074765464999.9998,29903.849151477058,63638,0.5569
2010-01-11,WOCKPHARMA,EQ,181.3,186.0,186.0,178.65,180.0,179.65,180.47,77876,1405406725000.0,29903.849151477058,43745,0.5617
2010-01-12,WOCKPHARMA,EQ,179.65,182.0,187.5,181.0,181.8,181.55,183.9,234636,4314948360000.0,29903.849151477058,98379,0.4193
2010-01-13,WOCKPHARMA,EQ,181.55,180.5,183.9,177.4,181.3,182.2,180.02,137156,2469086410000.0,29903.849151477058,59080,0.4308
2010-01-14,WOCKPHARMA,EQ,182.2,187.0,190.0,185.0,185.35,186.05,187.2,413338,7737555370000.0,29903.849151477058,183749,0.44450000000000006
2010-01-15,WOCKPHARMA,EQ,186.05,188.0,188.25,182.35,183.5,183.25,185.54,99549,1847015860000.0002,29903.849151477058,49231,0.49450000000000005
2010-01-18,WOCKPHARMA,EQ,183.25,181.0,188.6,180.7,184.8,183.5,184.44,92613,1708126105000.0,29903.849151477058,45926,0.49590000000000006
2010-01-19,WOCKPHARMA,EQ,183.5,182.1,184.5,177.4,179.6,179.2,181.22,75835,1374250875000.0,29903.849151477058,43259,0.5704
2010-01-20,WOCKPHARMA,EQ,179.2,180.5,181.8,178.1,179.0,179.2,179.78,62945,1131634270000.0,29903.849151477058,24636,0.3914
2010-01-21,WOCKPHARMA,EQ,179.2,177.1,179.8,175.0,175.7,175.95,177.43,44772,794388365000.0,29903.849151477058,28577,0.6383
2010-01-22,WOCKPHARMA,EQ,175.95,175.95,175.95,170.5,174.7,173.7,173.14,57511,995763565000.0,29903.849151477058,33259,0.5783
2010-01-25,WOCKPHARMA,EQ,173.7,175.15,181.9,172.0,172.75,173.65,176.35,122559,2161325975000.0,29903.849151477058,48964,0.3995
2010-01-27,WOCKPHARMA,EQ,173.65,173.0,173.1,165.0,165.25,166.15,169.02,101708,1719061475000.0,29903.849151477058,65810,0.647
2010-01-28,WOCKPHARMA,EQ,166.15,166.0,170.0,165.0,166.6,165.85,167.55,50254,842001400000.0,29903.849151477058,27461,0.5464
2010-01-29,WOCKPHARMA,EQ,165.85,165.0,174.9,159.1,174.0,171.35,165.72,92741,1536865680000.0,29903.849151477058,43536,0.4694
2010-02-01,WOCKPHARMA,EQ,171.35,170.0,175.0,170.0,173.1,172.8,172.99,50076,866246244999.9999,29903.849151477058,28317,0.5655
2010-02-02,WOCKPHARMA,EQ,172.8,173.2,175.9,168.5,168.8,169.6,172.8,35340,610662070000.0,29903.849151477058,19991,0.5657
2010-02-03,WOCKPHARMA,EQ,169.6,170.1,172.0,168.0,169.9,169.6,170.33,46512,792224250000.0,29903.849151477058,25391,0.5459
2010-02-04,WOCKPHARMA,EQ,169.6,170.0,171.6,166.0,167.25,166.7,168.77,29696,501185055000.0,29903.849151477058,15997,0.5387
2010-02-05,WOCKPHARMA,EQ,166.7,162.0,164.7,156.25,158.0,158.45,160.0,82872,1325913265000.0,29903.849151477058,43693,0.5272
2010-02-06,WOCKPHARMA,EQ,158.45,160.75,163.9,159.5,161.45,161.45,161.21,6482,104496920000.0,29903.849151477058,3384,0.5221
2010-02-08,WOCKPHARMA,EQ,161.45,165.0,165.0,156.65,157.1,158.5,159.62,41723,665998970000.0,29903.849151477058,20027,0.48
2010-02-09,WOCKPHARMA,EQ,158.5,159.0,160.95,157.55,159.5,159.2,159.57,31055,495531450000.0,29903.849151477058,15729,0.5065
2010-02-10,WOCKPHARMA,EQ,159.2,160.0,162.0,157.65,159.0,158.4,159.93,38644,618040355000.0,29903.849151477058,18536,0.4797
2010-02-11,WOCKPHARMA,EQ,158.4,159.5,163.55,157.55,160.9,159.7,160.97,69852,1124429160000.0,29903.849151477058,23767,0.34020000000000006
2010-02-15,WOCKPHARMA,EQ,159.7,161.0,161.9,159.35,159.8,159.65,160.29,26465,424209050000.0,29903.849151477058,13548,0.5119
2010-02-16,WOCKPHARMA,EQ,159.65,160.1,161.9,158.0,161.4,161.05,159.63,39988,638330925000.0,29903.849151477058,18082,0.4522
2010-02-17,WOCKPHARMA,EQ,161.05,162.0,163.85,159.6,160.35,160.15,161.44,25802,416553345000.0,29903.849151477058,13295,0.5153
2010-02-18,WOCKPHARMA,EQ,160.15,162.85,162.85,158.9,159.35,159.25,160.43,21006,337000635000.0,29903.849151477058,9071,0.4318
2010-02-19,WOCKPHARMA,EQ,159.25,158.0,158.0,153.95,156.35,156.05,155.85,65604,1022406005000.0001,29903.849151477058,19731,0.3008
2010-02-22,WOCKPHARMA,EQ,156.05,159.9,159.9,151.0,153.0,153.65,154.92,58222,901981244999.9999,29903.849151477058,22925,0.39380000000000004
2010-02-23,WOCKPHARMA,EQ,153.65,154.1,157.0,148.1,148.15,148.75,152.3,86131,1311774840000.0,29903.849151477058,39089,0.45380000000000004
2010-02-24,WOCKPHARMA,EQ,148.75,145.5,150.0,145.5,146.1,146.6,147.01,50385,740699020000.0,29903.849151477058,26512,0.5262
2010-02-25,WOCKPHARMA,EQ,146.6,142.15,148.85,141.0,141.25,141.4,143.27,89352,1280165700000.0,29903.849151477058,54188,0.6065
2010-02-26,WOCKPHARMA,EQ,141.4,142.9,144.8,141.0,141.0,141.7,142.53,59362,846099715000.0,29903.849151477058,36914,0.6218
2010-03-02,WOCKPHARMA,EQ,141.7,142.5,144.9,141.35,141.95,142.05,142.65,79258,1130579880000.0,29903.849151477058,52253,0.6593000000000001
2010-03-03,WOCKPHARMA,EQ,142.05,142.55,146.65,142.45,144.25,144.2,145.33,141365,2054476739999.9998,29903.849151477058,78620,0.5561
2010-03-04,WOCKPHARMA,EQ,144.2,145.0,146.0,144.05,144.9,144.65,144.97,70098,1016191019999.9999,29903.849151477058,42388,0.6047
2010-03-05,WOCKPHARMA,EQ,144.65,147.0,152.2,145.2,151.9,151.15,149.77,227758,3411067820000.0005,29903.849151477058,84828,0.3724
2010-03-08,WOCKPHARMA,EQ,151.15,153.5,157.0,152.25,154.5,154.25,155.01,182218,2824516685000.0,29903.849151477058,81776,0.44880000000000003
2010-03-09,WOCKPHARMA,EQ,154.25,155.45,156.5,152.3,153.0,153.15,154.35,64905,1001838205000.0001,29903.849151477058,31552,0.48610000000000003
2010-03-10,WOCKPHARMA,EQ,153.15,153.35,155.4,150.65,152.0,151.8,153.13,46161,706844645000.0,29903.849151477058,21810,0.47250000000000003
2010-03-11,WOCKPHARMA,EQ,151.8,150.0,153.4,150.0,151.05,150.9,151.71,32601,494605020000.0,29903.849151477058,15405,0.47250000000000003
2010-03-12,WOCKPHARMA,EQ,150.9,150.25,152.9,145.6,146.5,146.1,147.8,93507,1382049655000.0,29903.849151477058,61681,0.6596
