Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-01-03,20MICRONS,EQ,45.15,45.5,47.25,44.6,46.35,46.65,46.09,26971,124303075000.0,1060.1717223650385,17196,0.6376
2011-01-04,20MICRONS,EQ,46.65,46.05,46.6,45.55,45.55,46.05,46.06,10857,50007715000.0,1060.1717223650385,8583,0.7905
2011-01-05,20MICRONS,EQ,46.05,46.0,48.1,44.0,47.95,47.75,46.2,71882,332062690000.0,1060.1717223650385,20474,0.2848
2011-01-06,20MICRONS,EQ,47.75,48.0,49.0,46.6,47.75,47.6,47.5,12821,60897010000.0,1060.1717223650385,4466,0.3483
2011-01-07,20MICRONS,EQ,47.6,48.2,48.2,45.7,45.7,46.05,46.37,27842,129115975000.0,1060.1717223650385,16053,0.5766
2011-01-10,20MICRONS,EQ,46.05,46.1,46.7,44.5,44.5,44.6,45.25,11490,51993835000.0,1060.1717223650385,8889,0.7736000000000001
2011-01-11,20MICRONS,EQ,44.6,45.9,45.9,44.0,44.75,44.4,44.7,6482,28977265000.000004,1060.1717223650385,3972,0.6128
2011-01-12,20MICRONS,EQ,44.4,44.55,44.65,43.0,43.6,43.85,43.52,12567,54697155000.00001,1060.1717223650385,6276,0.4994
2011-01-13,20MICRONS,EQ,43.85,43.85,45.1,43.75,44.3,44.75,44.53,12082,53800090000.0,1060.1717223650385,5848,0.484
2011-01-14,20MICRONS,EQ,44.75,44.5,44.9,43.5,43.5,43.7,43.86,8257,36214165000.0,1060.1717223650385,6708,0.8124
2011-01-17,20MICRONS,EQ,43.7,44.0,44.65,42.9,42.9,43.1,43.57,8945,38976990000.0,1060.1717223650385,2514,0.2811
2011-01-18,20MICRONS,EQ,43.1,42.9,43.5,42.1,42.4,42.55,42.74,8432,36040500000.0,1060.1717223650385,4318,0.5121
2011-01-19,20MICRONS,EQ,42.55,42.9,43.0,42.2,42.3,42.5,42.52,2428,10323395000.0,1060.1717223650385,922,0.3797
2011-01-20,20MICRONS,EQ,42.5,42.85,42.9,42.0,42.6,42.7,42.36,3229,13677254999.999998,1060.1717223650385,1228,0.3803
2011-01-21,20MICRONS,EQ,42.7,42.85,43.2,42.1,42.1,42.1,42.37,3389,14359615000.0,1060.1717223650385,2296,0.6775
2011-01-24,20MICRONS,EQ,42.1,42.5,42.9,42.0,42.1,42.15,42.22,3367,14215770000.000002,1060.1717223650385,1826,0.5423
2011-01-25,20MICRONS,EQ,42.15,42.55,42.9,41.85,42.3,42.5,42.36,3695,15652040000.0,1060.1717223650385,1540,0.4168
2011-01-27,20MICRONS,EQ,42.5,42.0,42.55,40.25,41.6,41.3,41.88,22415,93883800000.0,1060.1717223650385,17274,0.7706000000000001
2011-01-28,20MICRONS,EQ,41.3,41.35,42.5,39.2,41.5,41.55,41.04,14501,59518675000.0,1060.1717223650385,10920,0.7531
2011-01-31,20MICRONS,EQ,41.55,38.3,42.95,38.3,42.6,42.5,41.55,16098,66879415000.0,1060.1717223650385,4190,0.26030000000000003
2011-02-01,20MICRONS,EQ,42.5,42.0,42.55,41.5,42.25,42.0,41.95,5137,21551610000.0,1060.1717223650385,3843,0.7481
