Date,Open,High,Low,Close,Volume,Turnover
2015-01-01,15.12,15.51,14.76,15.03,,
2015-01-02,15.03,15.03,13.48,13.8,,
2015-01-05,13.8,14.41,13.15,14.15,,
2015-01-06,14.15,17.87,13.46,17.42,,
2015-01-07,17.42,19.07,16.5,18.14,,
2015-01-08,18.14,18.14,15.38,16.47,,
2015-01-09,16.47,16.91,14.46,15.96,,
2015-01-12,15.96,17.55,14.37,16.11,,
2015-01-13,16.11,16.81,14.57,16.48,,
2015-01-14,16.48,17.8,14.66,17.25,,
2015-01-15,17.25,17.25,13.83,16.16,,
2015-01-16,16.16,17.5,14.86,17.28,,
2015-01-19,17.28,18.29,14.56,17.65,,
2015-01-20,17.65,17.65,15.72,17.27,,
2015-01-21,17.27,18.14,14.33,17.71,,
2015-01-22,17.71,18.76,14.21,18.57,,
2015-01-23,18.57,18.74,13.46,17.89,,
2015-01-27,17.89,18.69,16.78,18.09,,
2015-01-28,18.09,20.15,17.62,19.77,,
2015-01-29,19.77,20.57,17.7,19.43,,
2015-01-30,19.43,21.21,18.33,20.17,,
2015-02-02,20.17,21.37,19.86,20.41,,
2015-02-03,20.41,20.48,19.0,19.81,,
2015-02-04,19.81,20.29,17.97,20.05,,
2015-02-05,20.05,20.89,18.26,20.62,,
2015-02-06,20.62,21.24,18.72,20.69,,
2015-02-09,20.69,22.12,18.59,22.02,,
2015-02-10,22.02,22.02,19.85,21.19,,
2015-02-11,21.19,21.51,18.54,20.5,,
2015-02-12,20.5,20.96,17.93,20.16,,
2015-02-13,20.16,20.45,16.98,20.1,,
2015-02-16,20.1,21.12,17.48,20.83,,
2015-02-18,20.83,21.65,18.65,20.91,,
2015-02-19,20.91,21.91,19.4,20.4,,
2015-02-20,20.4,21.5,19.24,21.27,,
2015-02-23,21.27,22.02,19.41,21.63,,
2015-02-24,21.63,22.07,20.92,21.55,,
2015-02-25,21.55,21.55,20.22,20.78,,
2015-02-26,20.78,21.24,19.94,20.58,,
2015-02-27,20.58,20.58,19.3,19.57,,
2015-02-28,19.57,19.57,16.69,16.97,,
2015-03-02,16.97,16.97,15.74,15.85,,
2015-03-03,15.85,15.95,14.98,15.49,,
2015-03-04,15.49,15.49,14.3,15.2,,
2015-03-05,15.2,15.25,13.97,14.44,,
2015-03-09,14.44,16.01,13.32,15.81,,
2015-03-10,15.81,16.15,14.96,15.53,,
2015-03-11,15.53,15.61,14.25,15.13,,
2015-03-12,15.13,15.13,13.78,14.75,,
2015-03-13,14.75,15.24,13.45,14.97,,
2015-03-16,14.97,15.37,14.33,15.18,,
2015-03-17,15.18,15.46,13.43,15.13,,
2015-03-18,15.13,15.7,13.72,15.51,,
2015-03-19,15.51,15.51,12.89,15.2,,
2015-03-20,15.2,15.36,13.08,14.26,,
2015-03-23,14.26,14.58,12.44,14.27,,
2015-03-24,14.27,14.49,12.45,13.67,,
2015-03-25,13.67,13.95,12.36,13.14,,
2015-03-26,13.14,15.61,12.52,15.16,,
2015-03-27,15.16,15.4,14.37,14.5,,
2015-03-30,14.5,15.19,14.11,14.26,,
2015-03-31,14.26,14.74,13.86,14.49,,
2015-04-01,14.49,14.68,13.57,13.67,,
2015-04-06,13.67,15.05,13.6,14.57,,
2015-04-07,14.57,14.9,13.98,14.25,,
2015-04-08,14.25,14.7,13.35,14.35,,
2015-04-09,14.35,14.89,13.29,14.42,,
2015-04-10,14.42,14.79,13.43,14.26,,
2015-04-13,14.26,14.93,13.06,14.49,,
2015-04-15,14.49,14.99,13.34,14.62,,
2015-04-16,14.62,15.3,12.97,14.95,,
2015-04-17,14.95,15.18,13.62,15.04,,
2015-04-20,15.04,16.42,13.66,16.3,,
2015-04-21,16.3,17.34,15.23,17.03,,
2015-04-22,17.03,18.38,14.69,17.21,,
2015-04-23,17.21,19.44,14.97,18.5,,
2015-04-24,18.5,19.59,17.36,19.11,,
2015-04-27,19.11,20.09,16.22,18.74,,
2015-04-28,18.74,18.9,16.75,17.41,,
2015-04-29,17.41,17.89,15.73,17.24,,
2015-04-30,17.24,18.12,16.31,17.23,,
2015-05-04,17.23,18.28,16.96,17.31,,
2015-05-05,17.31,18.07,16.27,17.37,,
2015-05-06,17.37,20.46,16.71,19.67,,
2015-05-07,19.67,20.03,18.34,19.65,,
2015-05-08,19.65,19.65,17.44,19.11,,
2015-05-11,19.11,19.28,16.77,18.63,,
2015-05-12,18.63,21.33,17.22,20.55,,
2015-05-13,20.55,21.43,18.1,20.69,,
2015-05-14,20.69,21.91,19.82,20.7,,
2015-05-15,20.7,20.98,19.1,19.82,,
2015-05-18,19.82,20.47,16.77,17.9,,
2015-05-19,17.9,18.53,14.87,18.27,,
2015-05-20,18.27,18.27,15.57,17.72,,
2015-05-21,17.72,18.06,16.14,17.41,,
2015-05-22,17.41,17.44,14.2,16.95,,
2015-05-25,16.95,17.7,14.68,16.93,,
2015-05-26,16.93,17.84,15.29,17.07,,
2015-05-27,17.07,17.97,16.91,17.28,,
2015-05-28,17.28,17.72,16.6,17.13,,
2015-05-29,17.13,17.71,16.44,16.66,,
2015-06-01,16.66,17.46,16.06,16.91,,
2015-06-02,16.91,17.14,16.03,16.82,,
2015-06-03,16.82,17.92,15.86,17.51,,
2015-06-04,16.82,18.67,16.47,18.12,,
2015-06-05,18.12,18.38,17.69,18.09,,
2015-06-08,18.09,19.07,17.16,18.89,,
2015-06-09,18.89,19.12,16.48,18.01,,
2015-06-10,18.01,18.02,16.71,17.08,,
2015-06-11,17.08,17.95,15.95,17.81,,
