Date,Open,High,Low,Close,Volume,Turnover
2015-01-01,3340.1,3351.25,3334.6,3349.15,20416925.0,6956600000.0
2015-01-02,3353.0,3378.55,3353.0,3366.0,27295153.0,12456600000.0
2015-01-05,3373.65,3398.5,3360.15,3364.9,26577270.0,12750100000.0
2015-01-06,3357.25,3357.25,3301.6,3308.35,42709175.0,20148200000.0
2015-01-07,3311.5,3340.3,3309.35,3327.1,43459932.0,20278100000.0
2015-01-08,3346.7,3380.7,3346.7,3377.8,48886736.0,31443900000.0
2015-01-09,3395.85,3401.05,3351.7,3379.5,54122748.0,24060600000.0
2015-01-12,3383.0,3384.1,3367.3,3381.75,35612356.0,17618800000.0
2015-01-13,3390.4,3408.6,3372.25,3385.05,44852048.0,22413500000.0
2015-01-14,3392.65,3407.7,3381.6,3400.05,47037041.0,25050400000.0
2015-01-15,3434.5,3457.1,3420.65,3446.65,57833368.0,27462800000.000004
2015-01-16,3451.2,3480.25,3441.75,3474.9,47121696.0,22963900000.0
2015-01-19,3484.55,3489.5,3466.1,3468.8,36504377.0,21860700000.0
2015-01-20,3475.7,3484.35,3459.2,3482.25,38514106.0,19619800000.0
2015-01-21,3494.3,3515.0,3485.95,3511.05,66603630.0,29731500000.0
2015-01-22,3521.5,3539.8,3503.5,3516.45,53724508.0,27700800000.0
2015-01-23,3540.95,3563.2,3530.5,3559.1,55228944.0,26575800000.0
2015-01-27,3563.45,3580.65,3548.5,3575.1,59205453.0,31556200000.0
2015-01-28,3575.3,3596.75,3554.8,3571.3,56055307.0,28684200000.0
2015-01-29,3571.0,3571.3,3542.25,3564.3,69205620.0,33333000000.0
2015-01-30,3577.7,3577.7,3518.2,3529.6,52188802.0,22853400000.0
2015-02-02,3523.8,3530.1,3477.4,3485.0,41556427.0,20510500000.0
2015-02-03,3497.1,3507.85,3459.75,3463.6,43062677.0,22258300000.0
2015-02-04,3476.8,3483.2,3442.25,3448.85,38023144.0,19275100000.0
2015-02-05,3454.25,3456.65,3409.95,3419.7,61582263.0,29727199999.999996
2015-02-06,3419.25,3423.95,3399.55,3403.65,45911688.0,23675000000.0
2015-02-09,3378.6,3378.6,3341.25,3347.05,43931432.0,20148500000.0
