Date,Open,High,Low,Close,Volume,Turnover
2015-01-01,422.35,423.55,421.25,421.75,,
2015-01-02,421.65,421.65,415.45,416.2,,
2015-01-05,415.75,417.9,413.9,417.2,,
2015-01-06,419.95,430.55,419.9,429.8,,
2015-01-07,430.35,433.15,428.65,431.25,,
2015-01-08,426.6,427.8,423.85,424.3,,
2015-01-09,421.75,426.55,420.85,421.8,,
2015-01-12,421.75,424.0,419.7,420.1,,
2015-01-13,419.05,423.0,418.5,421.4,,
2015-01-14,421.1,424.65,420.15,422.6,,
2015-01-15,415.2,417.45,410.0,411.65,,
2015-01-16,411.25,413.7,410.25,410.8,,
2015-01-19,409.25,410.05,408.25,409.2,,
2015-01-20,408.1,408.1,401.75,402.35,,
2015-01-21,401.3,402.7,400.35,400.85,,
2015-01-22,400.15,401.0,398.9,399.45,,
2015-01-23,396.5,397.95,394.75,396.15,,
2015-01-27,394.65,396.7,392.3,392.9,,
2015-01-28,393.35,394.5,389.75,392.8,,
2015-01-29,393.45,395.2,390.65,391.25,,
2015-01-30,389.4,399.0,389.4,397.6,,
2015-02-02,398.05,400.35,396.35,398.25,,
2015-02-03,397.2,401.55,396.6,400.2,,
2015-02-04,398.75,402.6,398.7,401.75,,
2015-02-05,401.4,403.65,396.6,402.4,,
2015-02-06,403.15,405.45,401.85,404.8,,
2015-02-09,409.5,412.65,408.6,412.2,,
2015-02-10,414.65,414.95,406.55,410.4,,
2015-02-11,408.7,409.15,406.4,407.55,,
2015-02-12,405.3,408.9,402.75,403.65,,
2015-02-13,402.35,402.85,398.65,399.4,,
2015-02-16,398.3,400.0,396.6,399.3,,
2015-02-18,399.35,399.35,395.6,396.75,,
2015-02-19,396.2,400.15,394.85,395.65,,
2015-02-20,395.75,399.2,395.75,398.5,,
2015-02-23,397.7,403.05,397.2,402.3,,
2015-02-24,401.55,403.65,400.3,402.05,,
2015-02-25,400.35,402.65,398.6,401.9,,
2015-02-26,401.45,406.45,401.2,405.85,,
2015-02-27,403.8,404.35,397.85,398.4,,
2015-02-28,395.4,402.65,394.2,395.9,,
2015-03-02,393.7,396.7,392.9,393.55,,
2015-03-03,393.1,394.7,391.15,391.65,,
2015-03-04,386.8,396.1,386.45,394.95,,
2015-03-05,394.7,398.25,393.5,394.35,,
2015-03-09,396.75,403.35,396.75,402.7,,
2015-03-10,402.15,406.4,401.8,404.8,,
2015-03-11,404.15,406.3,402.9,405.45,,
2015-03-12,403.65,403.95,401.5,402.0,,
2015-03-13,398.95,408.65,398.95,407.95,,
2015-03-16,407.8,409.9,407.6,408.95,,
2015-03-17,406.35,409.1,403.85,404.75,,
2015-03-18,403.9,407.55,403.9,406.55,,
2015-03-19,403.7,409.95,401.9,409.05,,
2015-03-20,409.2,412.7,409.2,411.9,,
2015-03-23,411.15,413.55,410.35,413.1,,
2015-03-24,413.75,413.8,409.45,413.5,,
2015-03-25,412.3,414.8,412.2,414.15,,
2015-03-26,416.95,424.15,415.75,423.35,,
2015-03-27,420.7,427.1,420.1,423.5,,
2015-03-30,421.25,421.75,415.55,416.1,,
2015-03-31,414.45,418.0,413.35,416.25,,
2015-04-01,416.7,417.65,411.0,411.7,,
2015-04-06,410.65,412.6,408.2,408.55,,
2015-04-07,407.45,412.05,407.1,408.6,,
2015-04-08,406.85,407.75,405.5,406.15,,
2015-04-09,404.3,407.7,402.95,403.25,,
2015-04-10,403.5,405.3,402.95,403.25,,
2015-04-13,402.5,404.3,400.65,401.0,,
2015-04-15,400.7,406.25,400.7,405.0,,
2015-04-16,404.75,409.9,404.65,407.1,,
2015-04-17,407.55,412.3,407.55,411.85,,
2015-04-20,411.55,420.85,411.55,419.7,,
2015-04-21,421.4,424.5,418.75,423.3,,
2015-04-22,422.2,428.0,419.75,420.75,,
2015-04-23,418.4,424.15,417.1,422.4,,
2015-04-24,422.1,428.7,422.0,427.15,,
2015-04-27,426.1,432.55,425.95,432.1,,
2015-04-28,432.1,433.6,427.25,428.4,,
2015-04-29,429.05,431.9,427.35,430.85,,
2015-04-30,431.75,435.9,431.65,434.0,,
2015-05-04,431.75,432.1,425.65,426.35,,
2015-05-05,426.1,429.0,425.2,426.8,,
2015-05-06,427.3,439.25,426.65,438.55,,
2015-05-07,439.7,443.95,437.3,440.8,,
2015-05-08,436.6,437.0,431.5,433.35,,
2015-05-11,430.9,431.8,426.15,426.55,,
2015-05-12,426.55,437.35,426.55,436.8,,
2015-05-13,433.95,438.7,430.0,431.05,,
2015-05-14,431.3,436.15,431.1,431.7,,
2015-05-15,430.95,432.4,428.95,429.8,,
2015-05-18,428.9,429.55,423.75,424.3,,
2015-05-19,425.25,426.3,421.65,424.8,,
2015-05-20,423.5,423.5,421.1,421.95,,
2015-05-21,421.45,424.05,421.1,422.15,,
2015-05-22,421.65,422.2,418.8,420.3,,
2015-05-25,421.6,425.25,421.45,425.0,,
2015-05-26,424.7,427.6,424.7,426.65,,
2015-05-27,428.6,429.85,426.55,426.95,,
2015-05-28,426.35,430.25,425.45,427.75,,
2015-05-29,427.4,428.45,421.45,421.95,,
2015-06-01,422.95,422.95,420.5,422.15,,
2015-06-02,421.75,432.55,421.75,432.1,,
2015-06-03,432.0,439.2,431.95,437.1,,
2015-06-04,435.75,441.0,435.75,437.1,,
2015-06-05,437.65,438.55,433.8,437.9,,
2015-06-08,437.65,442.7,437.5,442.0,,
2015-06-09,443.05,444.2,441.4,443.3,,
2015-06-10,443.3,443.3,436.2,437.75,,
2015-06-11,436.05,446.75,435.95,446.4,,
2015-06-12,446.8,447.85,444.8,445.5,,
2015-06-15,445.15,447.45,441.2,443.65,,
2015-06-16,444.25,447.05,441.05,441.85,,
2015-06-17,439.9,441.8,437.05,439.5,,
2015-06-18,438.4,438.85,434.4,435.05,,
2015-06-19,433.65,433.75,431.1,432.4,,
2015-06-22,430.8,430.8,425.05,425.85,,
2015-06-23,424.7,426.85,423.65,424.5,,
2015-06-24,423.65,426.7,422.55,425.6,,
2015-06-25,426.95,427.25,422.55,423.8,,
2015-06-26,424.1,426.8,423.35,424.75,,
2015-06-29,431.75,434.3,427.6,428.15,,
2015-06-30,428.35,429.2,425.2,425.65,,
2015-07-01,425.35,425.6,420.35,421.45,,
2015-07-02,420.4,422.3,420.05,421.75,,
2015-07-03,422.05,422.8,419.2,419.85,,
2015-07-06,424.9,424.9,417.7,418.2,,
2015-07-07,418.1,420.15,416.35,418.8,,
2015-07-08,422.4,427.2,421.5,426.15,,
2015-07-09,425.95,428.1,424.2,427.8,,
2015-07-10,425.95,428.55,425.4,426.25,,
2015-07-13,424.6,426.75,420.85,421.45,,
2015-07-14,420.95,423.25,420.5,421.75,,
2015-07-15,421.15,421.15,417.8,418.15,,
2015-07-16,417.1,417.15,413.65,414.05,,
2015-07-17,413.4,414.85,412.55,414.05,,
