Strike_Price,C_LTP,P_LTP
9100.00,2643.10,0.05
9150.00,-,-
9200.00,2553.00,0.15
9250.00,-,-
9300.00,2436.75,0.30
9350.00,-,-
9400.00,2296.00,0.45
9450.00,-,-
9500.00,2243.55,0.40
9550.00,-,-
9600.00,2135.00,0.65
9650.00,1700.00,0.70
9700.00,2034.00,0.70
9750.00,-,-
9800.00,1943.95,0.75
9850.00,-,-
9900.00,1851.00,0.90
9950.00,-,-
10000.00,1751.05,0.80
10050.00,-,0.90
10100.00,1627.75,0.75
10150.00,-,3.25
10200.00,1553.50,1.05
10250.00,-,-
10300.00,1451.00,1.10
10350.00,800.35,1.05
10400.00,1349.95,0.95
10450.00,997.90,0.85
10500.00,1253.30,1.00
10550.00,1184.05,0.75
10600.00,1147.00,1.30
10650.00,1020.00,1.50
10700.00,1050.00,1.55
10750.00,992.05,1.80
10800.00,948.00,1.65
10850.00,800.00,1.50
10900.00,848.10,1.60
10950.00,785.00,1.80
11000.00,749.25,2.05
11050.00,677.90,2.20
11100.00,649.10,2.15
11150.00,590.00,2.25
11200.00,550.00,2.30
11250.00,500.00,2.60
11300.00,451.85,2.30
11350.00,402.55,2.90
11400.00,355.40,2.80
11450.00,303.15,3.40
11500.00,255.15,4.00
11550.00,209.50,4.80
11600.00,159.00,6.55
11650.00,112.20,10.40
11700.00,73.60,18.60
11750.00,38.40,31.00
11800.00,17.00,59.10
11850.00,6.30,94.05
11900.00,3.20,140.70
11950.00,1.85,-
12000.00,1.20,239.90
12050.00,0.35,-
12100.00,0.70,394.00
12150.00,1.00,-
12200.00,0.35,445.65
12250.00,0.50,-
12300.00,0.30,535.50
12350.00,-,-
12400.00,0.65,640.90
12450.00,-,-
12500.00,0.35,735.00
12550.00,0.40,1219.20
12600.00,0.45,853.45
12650.00,-,-
12700.00,0.50,960.00
12750.00,-,-
12800.00,0.30,-
12850.00,0.50,-
12900.00,1.40,1300.00
12950.00,-,-
13000.00,0.10,-
13050.00,-,-
13100.00,-,-
13150.00,-,-
13200.00,-,-
