Strike Price,C_LTP,P_LTP
9100.00,2295.00,1.55
9150.00,-,-
9200.00,2193.00,1.95
9250.00,-,-
9300.00,2088.00,2.30
9350.00,-,-
9400.00,1997.00,2.10
9450.00,-,-
9500.00,1902.35,2.50
9550.00,-,-
9600.00,1825.40,2.70
9650.00,-,-
9700.00,1690.00,3.30
9750.00,-,-
9800.00,1570.60,3.65
9850.00,-,-
9900.00,1510.00,4.00
9950.00,-,-
10000.00,1399.20,4.40
10050.00,-,3.05
10100.00,1302.00,4.30
10150.00,-,3.25
10200.00,1202.20,4.55
10250.00,-,-
10300.00,1103.60,5.20
10350.00,800.35,5.95
10400.00,1016.90,5.65
10450.00,-,6.55
10500.00,910.00,6.90
10550.00,805.00,8.00
10600.00,808.30,8.70
10650.00,704.80,10.35
10700.00,711.40,11.15
10750.00,564.95,12.35
10800.00,621.95,14.60
10850.00,552.50,17.35
10900.00,525.35,20.65
10950.00,482.00,24.45
11000.00,441.00,28.40
11050.00,380.00,33.80
11100.00,350.50,40.15
11150.00,303.20,48.35
11200.00,271.95,56.85
11250.00,235.00,69.00
11300.00,196.90,82.00
11350.00,162.05,99.00
11400.00,133.10,116.90
11450.00,105.35,140.05
11500.00,82.15,163.55
11550.00,61.00,190.80
11600.00,44.25,225.00
11650.00,32.00,276.25
11700.00,22.95,300.05
11750.00,16.25,385.40
11800.00,11.10,386.00
11850.00,8.95,-
11900.00,6.30,486.00
11950.00,5.95,-
12000.00,4.70,582.50
12050.00,4.50,-
12100.00,3.20,770.30
12150.00,7.00,-
12200.00,2.75,767.00
12250.00,-,-
12300.00,2.10,876.00
12350.00,-,-
12400.00,1.45,955.15
12450.00,-,-
12500.00,1.60,1075.50
12550.00,2.90,1219.20
12600.00,1.55,1194.40
12650.00,-,-
12700.00,-,-
12750.00,-,-
12800.00,0.75,-
12850.00,1.90,-
