symbol,Days,RSI,BBANDS,MA1,MA2,MA3,MA4,MSE,RMSE,Dates,Actual,Forcasted,model
BANKNIFTY,1,20,10,8,15,13,,7.62699880511188e-05,0.00873326903576884,['2018-05-28T00:00'],,[26288.77],SVR
BANKNIFTY,1,20,10,8,15,13,,7.709384990275847e-05,0.008780310353441869,['2018-05-28T00:00'],,[26483.52],SVR
NIFTY,1,20,10,8,15,13,,9.304884413110336e-05,0.00964618287879218,['2018-05-28T00:00'],,[10592.72],SVR
TCS,1,20,10,8,15,13,,0.00010594363811351598,0.010292892601864452,['2018-05-28T00:00'],,[3554.35],SVR
NIFTY,1,20,10,8,15,13,,8.566609065650748e-05,0.009255597801142153,['2018-05-28T00:00'],,[10588.78],SVR
TCS,1,20,10,8,15,13,,9.056206848200135e-05,0.009516410483055118,['2018-05-28T00:00'],,[3586.25],SVR
SYNDIBANK_F1,1,20,10,8,15,13,,0.00010425463344232676,0.010210515826456896,['2016-11-30T16:32'],,[67.68],SVR
AXISBANK,1,20,10,8,15,13,,0.00018050960331491702,0.013435386236164444,['2018-05-28T00:00'],,[539.7],SVR
SYNDIBANK_F1,1,20,10,8,15,13,,0.00019207863574551752,0.013859243693128334,['2016-11-30T16:32'],,[67.68],SVR
BANKNIFTY,15,20,10,8,15,13,,0.0009816302617600993,0.03133097926589751,"['2018-05-28T00:00' '2018-05-29T00:00' '2018-05-30T00:00'
 '2018-05-31T00:00' '2018-06-01T00:00' '2018-06-04T00:00'
 '2018-06-05T00:00' '2018-06-06T00:00' '2018-06-07T00:00'
 '2018-06-08T00:00' '2018-06-11T00:00' '2018-06-12T00:00'
 '2018-06-13T00:00' '2018-06-14T00:00' '2018-06-15T00:00']",,"[25912.37, 26163.9, 26089.74, 25869.09, 26005.72, 25923.26, 25421.24, 25082.16, 25634.79, 25871.82, 25810.14, 25308.77, 25254.52, 25539.71, 25566.41]",SVR
BANKNIFTY,15,20,10,8,15,13,,0.0009113538161021418,0.030188637201803956,"['2018-05-28T00:00' '2018-05-29T00:00' '2018-05-30T00:00'
 '2018-05-31T00:00' '2018-06-01T00:00' '2018-06-04T00:00'
 '2018-06-05T00:00' '2018-06-06T00:00' '2018-06-07T00:00'
 '2018-06-08T00:00' '2018-06-11T00:00' '2018-06-12T00:00'
 '2018-06-13T00:00' '2018-06-14T00:00' '2018-06-15T00:00']",,"[25916.8, 26063.49, 26143.76, 25825.31, 26048.2, 25952.48, 25754.96, 25266.5, 25711.11, 25975.83, 25910.95, 25486.14, 25375.15, 25507.28, 25435.61]",SVR
TCS,15,20,10,8,15,13,,0.000911302937613044,0.030187794513893258,"['2018-05-28T00:00' '2018-05-29T00:00' '2018-05-30T00:00'
 '2018-05-31T00:00' '2018-06-01T00:00' '2018-06-04T00:00'
 '2018-06-05T00:00' '2018-06-06T00:00' '2018-06-07T00:00'
 '2018-06-08T00:00' '2018-06-11T00:00' '2018-06-12T00:00'
 '2018-06-13T00:00' '2018-06-14T00:00' '2018-06-15T00:00']",,"[3308.91, 3444.46, 3589.95, 3289.09, 3346.62, 3271.72, 3284.77, 3265.83, 3121.97, 3216.41, 3366.12, 3241.92, 3334.9, 3663.44, 3548.73]",SVR
