symbol,Days,RSI,BBANDS,MA1,MA2,MA3,MA4,MSE,RMSE,Dates,Actual,Forcasted,model
BANKNIFTY,1,20,10,8,15,13,,7.09182567501053e-05,0.008421297806757894,['2018-05-25T00:00'],[26273.55],[26088.16],SVR
BANKNIFTY,1,20,10,8,15,13,,7.504512501691084e-05,0.008662858940148503,['2018-05-25T00:00'],[26273.55],[26143.5],SVR
NIFTY,1,20,10,8,15,13,,9.150564938710904e-05,0.009565858528491265,['2018-05-25T00:00'],[10605.15],[10514.12],SVR
NIFTY,1,20,10,8,15,13,,9.2501423962209e-05,0.009617766058820988,['2018-05-25T00:00'],[10605.15],[10513.93],SVR
NIFTY,1,20,10,8,15,13,,9.333810937868782e-05,0.009661165011461496,['2018-05-25T00:00'],[10605.15],[10504.18],SVR
TCS,1,20,10,8,15,13,,9.576924566469941e-05,0.009786176253506751,['2018-05-25T00:00'],[3585.8],[3687.95],SVR
NIFTY,1,20,10,8,15,13,,0.00010421993652637892,0.010208816607539726,['2018-05-25T00:00'],[10605.15],[10431.61],SVR
TCS,1,20,10,8,15,13,,0.00010597023626422244,0.01029418458471687,['2018-05-25T00:00'],[3585.8],[3639.58],SVR
SYNDIBANK_F1,1,20,10,8,15,13,,0.00012119480049345104,0.011008851006960309,['2016-11-30T16:31'],[67.7],[67.8],SVR
SYNDIBANK_F1,1,20,10,8,15,13,,0.00012134682544055141,0.011015753512154829,['2016-11-30T16:31'],[67.7],[67.82],SVR
SYNDIBANK_F1,1,20,10,8,15,13,,0.00013873072874390045,0.01177840094171957,['2016-11-30T16:31'],[67.7],[67.82],SVR
AXISBANK,1,20,10,8,15,13,,0.00022010705095118526,0.014836005222133932,['2018-05-25T00:00'],[538.5],[533.95],SVR
SYNDIBANK_F1,1,20,10,8,15,13,,0.00022513807272367398,0.0150046017182621,['2016-11-30T16:31'],[67.7],[67.81],SVR
