Symbol,EndTotal,MA_Long,MA_Short,Total_Transactions
'NIFTY', 410430, 7, 27, 123
'NIFTY', 220144, 7, 43, 75
'NIFTY', 255384, 7, 44, 75
'NIFTY', 258584, 7, 45, 77
'NIFTY', 320129, 7, 48, 73
'NIFTY', 649625, 7, 15, 197
'NIFTY', 405735, 7, 31, 117
'NIFTY', 355069, 7, 51, 69
'NIFTY', 313484, 7, 52, 67
'NIFTY', 306689, 7, 57, 69
'NIFTY', 280749, 7, 58, 67
'NIFTY', 156065, 7, 85, 47
'NIFTY', 208560, 7, 99, 43
'NIFTY', 444435, 27, 7, 124
'NIFTY', 580050, 27, 43, 63
'NIFTY', 536659, 27, 44, 61
'NIFTY', 533540, 27, 45, 61
'NIFTY', 559280, 27, 48, 61
'NIFTY', 364000, 27, 15, 104
'NIFTY', 660304, 27, 31, 151
'NIFTY', 487314, 27, 51, 53
'NIFTY', 458294, 27, 52, 53
'NIFTY', 351764, 27, 57, 49
'NIFTY', 358674, 27, 58, 47
'NIFTY', 170425, 27, 85, 37
'NIFTY', 269444, 27, 99, 31
'NIFTY', 634720, 43, 7, 76
'NIFTY', 250300, 43, 27, 64
'NIFTY', 486679, 43, 44, 203
'NIFTY', 445625, 43, 45, 131
'NIFTY', 587665, 43, 48, 97
'NIFTY', 258470, 43, 15, 68
'NIFTY', 364785, 43, 31, 70
'NIFTY', 667375, 43, 51, 79
'NIFTY', 667565, 43, 52, 75
'NIFTY', 531085, 43, 57, 57
'NIFTY', 576280, 43, 58, 55
'NIFTY', 370650, 43, 85, 37
'NIFTY', 240070, 43, 99, 27
'NIFTY', 599480, 44, 7, 76
'NIFTY', 293690, 44, 27, 62
'NIFTY', 350120, 44, 43, 204
'NIFTY', 494420, 44, 45, 189
'NIFTY', 674975, 44, 48, 109
'NIFTY', 255710, 44, 15, 66
'NIFTY', 363024, 44, 31, 70
'NIFTY', 670235, 44, 51, 83
'NIFTY', 702875, 44, 52, 79
'NIFTY', 539330, 44, 57, 57
'NIFTY', 590074, 44, 58, 57
'NIFTY', 370430, 44, 85, 35
'NIFTY', 232035, 44, 99, 27
'NIFTY', 596280, 45, 7, 78
'NIFTY', 296810, 45, 27, 62
'NIFTY', 391175, 45, 43, 132
'NIFTY', 333499, 45, 44, 190
'NIFTY', 673100, 45, 48, 121
'NIFTY', 208990, 45, 15, 64
'NIFTY', 349530, 45, 31, 68
'NIFTY', 693990, 45, 51, 85
'NIFTY', 675750, 45, 52, 79
'NIFTY', 641755, 45, 57, 61
'NIFTY', 683520, 45, 58, 57
'NIFTY', 388350, 45, 85, 33
'NIFTY', 256675, 45, 99, 27
'NIFTY', 534735, 48, 7, 74
'NIFTY', 271069, 48, 27, 62
'NIFTY', 249135, 48, 43, 98
'NIFTY', 152944, 48, 44, 110
'NIFTY', 173119, 48, 45, 122
'NIFTY', 267585, 48, 15, 62
'NIFTY', 298145, 48, 31, 64
'NIFTY', 579830, 48, 51, 119
'NIFTY', 604780, 48, 52, 101
'NIFTY', 632085, 48, 57, 67
'NIFTY', 691335, 48, 58, 65
'NIFTY', 281804, 48, 85, 31
'NIFTY', 153035, 48, 99, 25
'NIFTY', 206314, 15, 7, 196
'NIFTY', 485429, 15, 27, 103
'NIFTY', 590959, 15, 43, 67
'NIFTY', 593719, 15, 44, 65
'NIFTY', 640439, 15, 45, 63
'NIFTY', 581844, 15, 48, 61
'NIFTY', 552565, 15, 31, 97
'NIFTY', 487680, 15, 51, 59
'NIFTY', 468330, 15, 52, 59
'NIFTY', 520279, 15, 57, 53
'NIFTY', 506990, 15, 58, 53
'NIFTY', 214005, 15, 85, 39
'NIFTY', 198155, 15, 99, 31
'NIFTY', 449130, 31, 7, 118
'NIFTY', 175885, 31, 27, 150
'NIFTY', 471405, 31, 43, 69
'NIFTY', 473165, 31, 44, 69
'NIFTY', 486660, 31, 45, 67
'NIFTY', 538045, 31, 48, 63
'NIFTY', 296864, 31, 15, 98
'NIFTY', 431225, 31, 51, 61
'NIFTY', 398710, 31, 52, 59
'NIFTY', 340935, 31, 57, 49
'NIFTY', 348349, 31, 58, 47
'NIFTY', 228964, 31, 85, 31
'NIFTY', 315744, 31, 99, 29
'NIFTY', 499795, 51, 7, 70
'NIFTY', 343035, 51, 27, 54
'NIFTY', 169425, 51, 43, 80
'NIFTY', 157685, 51, 44, 84
'NIFTY', 152229, 51, 45, 86
'NIFTY', 267024, 51, 48, 120
'NIFTY', 361750, 51, 15, 60
'NIFTY', 404964, 51, 31, 62
'NIFTY', 587884, 51, 52, 175
'NIFTY', 519814, 51, 57, 83
'NIFTY', 539570, 51, 58, 73
'NIFTY', 235165, 51, 85, 35
'NIFTY', 185994, 51, 99, 25
'NIFTY', 541380, 52, 7, 68
'NIFTY', 372054, 52, 27, 54
'NIFTY', 169234, 52, 43, 76
'NIFTY', 125044, 52, 44, 80
'NIFTY', 170469, 52, 45, 80
'NIFTY', 242074, 52, 48, 102
'NIFTY', 381099, 52, 15, 60
'NIFTY', 437479, 52, 31, 60
'NIFTY', 252600, 52, 51, 176
'NIFTY', 511425, 52, 57, 87
'NIFTY', 465805, 52, 58, 83
'NIFTY', 238475, 52, 85, 35
'NIFTY', 190704, 52, 99, 25
'NIFTY', 538075, 57, 7, 70
'NIFTY', 478585, 57, 27, 50
'NIFTY', 305715, 57, 43, 58
'NIFTY', 288589, 57, 44, 58
'NIFTY', 204464, 57, 45, 62
'NIFTY', 214769, 57, 48, 68
'NIFTY', 329150, 57, 15, 54
'NIFTY', 495254, 57, 31, 50
'NIFTY', 320670, 57, 51, 84
'NIFTY', 336045, 57, 52, 88
'NIFTY', 398170, 57, 58, 159
'NIFTY', 225005, 57, 85, 31
'NIFTY', 59490, 57, 99, 25
'NIFTY', 577430, 58, 7, 68
'NIFTY', 471675, 58, 27, 48
'NIFTY', 260520, 58, 43, 56
'NIFTY', 237845, 58, 44, 58
'NIFTY', 162699, 58, 45, 58
'NIFTY', 155520, 58, 48, 66
'NIFTY', 342440, 58, 15, 54
'NIFTY', 487840, 58, 31, 48
'NIFTY', 300914, 58, 51, 74
'NIFTY', 381664, 58, 52, 84
'NIFTY', 461729, 58, 57, 160
'NIFTY', 201985, 58, 85, 31
'NIFTY', 64740, 58, 99, 25
'NIFTY', 662129, 85, 7, 50
'NIFTY', 658144, 85, 27, 40
'NIFTY', 466150, 85, 43, 38
'NIFTY', 457489, 85, 44, 36
'NIFTY', 457870, 85, 45, 34
'NIFTY', 565050, 85, 48, 32
'NIFTY', 592129, 85, 15, 42
'NIFTY', 607225, 85, 31, 32
'NIFTY', 605319, 85, 51, 36
'NIFTY', 608995, 85, 52, 36
'NIFTY', 634894, 85, 57, 32
'NIFTY', 671330, 85, 58, 32
'NIFTY', 227655, 85, 99, 36
'NIFTY', 609634, 99, 7, 46
'NIFTY', 559125, 99, 27, 34
'NIFTY', 596730, 99, 43, 28
'NIFTY', 595884, 99, 44, 28
'NIFTY', 589544, 99, 45, 28
'NIFTY', 693820, 99, 48, 26
'NIFTY', 607980, 99, 15, 34
'NIFTY', 520445, 99, 31, 30
'NIFTY', 654490, 99, 51, 26
'NIFTY', 656765, 99, 52, 26
'NIFTY', 800409, 99, 57, 26
'NIFTY', 808574, 99, 58, 26
'NIFTY', 553094, 99, 85, 37
'NIFTY', 410430, 7, 27, 123
'NIFTY', 220144, 7, 43, 75
'NIFTY', 255384, 7, 44, 75
'NIFTY', 258584, 7, 45, 77
'NIFTY', 320129, 7, 48, 73
'NIFTY', 649625, 7, 15, 197
'NIFTY', 405735, 7, 31, 117
'NIFTY', 355069, 7, 51, 69
'NIFTY', 313484, 7, 52, 67
'NIFTY', 306689, 7, 57, 69
'NIFTY', 280749, 7, 58, 67
'NIFTY', 156065, 7, 85, 47
'NIFTY', 208560, 7, 99, 43
'NIFTY', 444435, 27, 7, 124
'NIFTY', 580050, 27, 43, 63
'NIFTY', 536659, 27, 44, 61
'NIFTY', 533540, 27, 45, 61
'NIFTY', 559280, 27, 48, 61
'NIFTY', 364000, 27, 15, 104
'NIFTY', 660304, 27, 31, 151
'NIFTY', 487314, 27, 51, 53
'NIFTY', 458294, 27, 52, 53
'NIFTY', 351764, 27, 57, 49
'NIFTY', 358674, 27, 58, 47
'NIFTY', 170425, 27, 85, 37
'NIFTY', 269444, 27, 99, 31
'NIFTY', 634720, 43, 7, 76
'NIFTY', 250300, 43, 27, 64
'NIFTY', 486679, 43, 44, 203
'NIFTY', 445625, 43, 45, 131
'NIFTY', 587665, 43, 48, 97
'NIFTY', 258470, 43, 15, 68
'NIFTY', 364785, 43, 31, 70
'NIFTY', 667375, 43, 51, 79
'NIFTY', 667565, 43, 52, 75
'NIFTY', 531085, 43, 57, 57
'NIFTY', 576280, 43, 58, 55
'NIFTY', 370650, 43, 85, 37
'NIFTY', 240070, 43, 99, 27
'NIFTY', 599480, 44, 7, 76
'NIFTY', 293690, 44, 27, 62
'NIFTY', 350120, 44, 43, 204
'NIFTY', 494420, 44, 45, 189
'NIFTY', 674975, 44, 48, 109
'NIFTY', 255710, 44, 15, 66
'NIFTY', 363024, 44, 31, 70
'NIFTY', 670235, 44, 51, 83
'NIFTY', 702875, 44, 52, 79
'NIFTY', 539330, 44, 57, 57
'NIFTY', 590074, 44, 58, 57
'NIFTY', 370430, 44, 85, 35
'NIFTY', 232035, 44, 99, 27
'NIFTY', 596280, 45, 7, 78
'NIFTY', 296810, 45, 27, 62
'NIFTY', 391175, 45, 43, 132
'NIFTY', 333499, 45, 44, 190
'NIFTY', 673100, 45, 48, 121
'NIFTY', 208990, 45, 15, 64
'NIFTY', 349530, 45, 31, 68
'NIFTY', 693990, 45, 51, 85
'NIFTY', 675750, 45, 52, 79
'NIFTY', 641755, 45, 57, 61
'NIFTY', 683520, 45, 58, 57
'NIFTY', 388350, 45, 85, 33
'NIFTY', 256675, 45, 99, 27
'NIFTY', 534735, 48, 7, 74
'NIFTY', 271069, 48, 27, 62
'NIFTY', 249135, 48, 43, 98
'NIFTY', 152944, 48, 44, 110
'NIFTY', 173119, 48, 45, 122
'NIFTY', 267585, 48, 15, 62
'NIFTY', 298145, 48, 31, 64
'NIFTY', 579830, 48, 51, 119
'NIFTY', 604780, 48, 52, 101
'NIFTY', 632085, 48, 57, 67
'NIFTY', 691335, 48, 58, 65
'NIFTY', 281804, 48, 85, 31
'NIFTY', 153035, 48, 99, 25
'NIFTY', 206314, 15, 7, 196
'NIFTY', 485429, 15, 27, 103
'NIFTY', 590959, 15, 43, 67
'NIFTY', 593719, 15, 44, 65
'NIFTY', 640439, 15, 45, 63
'NIFTY', 581844, 15, 48, 61
'NIFTY', 552565, 15, 31, 97
'NIFTY', 487680, 15, 51, 59
'NIFTY', 468330, 15, 52, 59
'NIFTY', 520279, 15, 57, 53
'NIFTY', 506990, 15, 58, 53
'NIFTY', 214005, 15, 85, 39
'NIFTY', 198155, 15, 99, 31
'NIFTY', 449130, 31, 7, 118
'NIFTY', 175885, 31, 27, 150
'NIFTY', 471405, 31, 43, 69
'NIFTY', 473165, 31, 44, 69
'NIFTY', 486660, 31, 45, 67
'NIFTY', 538045, 31, 48, 63
'NIFTY', 296864, 31, 15, 98
'NIFTY', 431225, 31, 51, 61
'NIFTY', 398710, 31, 52, 59
'NIFTY', 340935, 31, 57, 49
'NIFTY', 348349, 31, 58, 47
'NIFTY', 228964, 31, 85, 31
'NIFTY', 315744, 31, 99, 29
'NIFTY', 499795, 51, 7, 70
'NIFTY', 343035, 51, 27, 54
'NIFTY', 169425, 51, 43, 80
'NIFTY', 157685, 51, 44, 84
'NIFTY', 152229, 51, 45, 86
'NIFTY', 267024, 51, 48, 120
'NIFTY', 361750, 51, 15, 60
'NIFTY', 404964, 51, 31, 62
'NIFTY', 587884, 51, 52, 175
'NIFTY', 519814, 51, 57, 83
'NIFTY', 539570, 51, 58, 73
'NIFTY', 235165, 51, 85, 35
'NIFTY', 185994, 51, 99, 25
'NIFTY', 541380, 52, 7, 68
'NIFTY', 372054, 52, 27, 54
'NIFTY', 169234, 52, 43, 76
'NIFTY', 125044, 52, 44, 80
'NIFTY', 170469, 52, 45, 80
'NIFTY', 242074, 52, 48, 102
'NIFTY', 381099, 52, 15, 60
'NIFTY', 437479, 52, 31, 60
'NIFTY', 252600, 52, 51, 176
'NIFTY', 511425, 52, 57, 87
'NIFTY', 465805, 52, 58, 83
'NIFTY', 238475, 52, 85, 35
'NIFTY', 190704, 52, 99, 25
'NIFTY', 538075, 57, 7, 70
'NIFTY', 478585, 57, 27, 50
'NIFTY', 305715, 57, 43, 58
'NIFTY', 288589, 57, 44, 58
'NIFTY', 204464, 57, 45, 62
'NIFTY', 214769, 57, 48, 68
'NIFTY', 329150, 57, 15, 54
'NIFTY', 495254, 57, 31, 50
'NIFTY', 320670, 57, 51, 84
'NIFTY', 336045, 57, 52, 88
'NIFTY', 398170, 57, 58, 159
'NIFTY', 225005, 57, 85, 31
'NIFTY', 59490, 57, 99, 25
'NIFTY', 577430, 58, 7, 68
'NIFTY', 471675, 58, 27, 48
'NIFTY', 260520, 58, 43, 56
'NIFTY', 237845, 58, 44, 58
'NIFTY', 162699, 58, 45, 58
'NIFTY', 155520, 58, 48, 66
