Date,Open,High,Low,Close,Volume,Turnover
2007-01-02,6015.15,6067.05,6004.65,6039.55,3647004,1650300000.0
2007-01-03,6044.3,6084.5,6009.65,6070.25,5541104,2341500000.0
2007-01-04,6077.15,6122.4,5982.45,6008.45,8078673,3465500000.0
2007-01-05,6004.3,6101.8,5996.45,6049.0,8429921,4214500000.0
2007-01-08,6069.9,6069.9,5951.6,5968.35,7392637,3591400000.0
2007-01-09,5971.8,6000.75,5864.3,5875.3,12989392,6297800000.0
2007-01-10,5859.9,5894.4,5709.2,5723.05,9063215,4066000000.0
2007-01-11,5720.55,5816.5,5684.7,5748.75,14052929,7143400000.0
2007-01-12,5826.65,6184.6,5826.65,6157.95,16515401,7942100000.0
2007-01-15,6191.0,6221.4,6144.85,6164.8,5817293,3341800000.0
2007-01-16,6188.1,6212.1,6103.1,6157.4,8985294,5142000000.0
2007-01-17,6168.6,6247.05,6143.75,6215.2,6296906,3928399999.9999995
2007-01-18,6239.2,6292.9,6154.9,6189.5,11268346,5875000000.0
2007-01-19,6254.5,6254.75,6104.2,6184.9,5963738,3286000000.0
2007-01-22,6209.75,6224.1,6135.4,6175.45,6211720,2995899999.9999995
2007-01-23,6167.85,6172.25,5989.85,6010.8,12066221,6571600000.0
2007-01-24,6082.85,6098.05,5989.6,6055.5,9049995,3979200000.0
2007-01-25,6094.05,6126.4,6051.25,6107.6,12443532,4464300000.0
2007-01-29,6139.75,6148.55,5953.3,5978.9,5628805,2573399999.9999995
2007-01-31,5980.05,6100.5,5901.65,5953.95,16903515,7702000000.0
2007-02-01,5976.25,6152.25,5951.05,6115.2,12684869,6217900000.0
2007-02-02,6132.45,6176.0,6059.7,6075.35,14086385,7715599999.999999
2007-02-05,6120.1,6144.65,6047.55,6089.2,7027503,3924100000.0000005
2007-02-06,6095.8,6170.6,6075.25,6092.2,9835067,4443500000.0
2007-02-07,6104.7,6173.95,6095.05,6157.15,13444728,5852900000.0
2007-02-08,6148.65,6231.45,6146.75,6208.7,7887486,4547500000.0
2007-02-09,6211.45,6248.6,6107.5,6184.45,11392225,5230500000.0
2007-02-12,6085.8,6124.2,5957.3,6031.65,9734632,4671400000.0
2007-02-13,6026.35,6100.45,5890.3,5946.45,11773291,6083000000.0
2007-02-14,5841.2,5841.2,5561.0,5672.55,18277426,9201500000.0
2007-02-15,5702.35,5852.5,5702.35,5841.65,10108539,5174600000.0
2007-02-19,5858.15,5948.15,5836.85,5917.45,8688735,4859900000.0
2007-02-20,5927.5,5945.85,5825.45,5841.25,5467139,2904200000.0
2007-02-21,5855.2,5868.9,5787.6,5816.95,6516734,3747100000.0
2007-02-22,5825.45,5854.4,5627.55,5647.65,15962979,6942800000.0
2007-02-23,5721.4,5738.0,5427.35,5473.6,12098373,5541500000.0
2007-02-26,5493.6,5579.1,5376.65,5533.75,8113451,3724100000.0000005
2007-02-27,5552.3,5616.25,5407.3,5464.65,11539662,5456200000.0
2007-02-28,5294.7,5381.55,5112.15,5240.3,12231958,6682800000.0
2007-03-01,5262.35,5406.35,5213.35,5388.95,7173455,3568399999.9999995
2007-03-02,5395.4,5401.15,5196.15,5218.95,10601002,5205800000.0
2007-03-05,5135.75,5135.75,4980.25,5040.1,10183361,4972600000.0
2007-03-06,5061.4,5182.45,5005.95,5110.15,9291136,4313600000.0
2007-03-07,5185.1,5214.4,4950.5,4993.55,11744493,4957400000.0
2007-03-08,5031.85,5246.5,4999.25,5217.85,11852859,5576300000.0
2007-03-09,5226.05,5316.95,5160.6,5187.85,11979870,5222500000.0
2007-03-12,5188.05,5269.3,5152.4,5180.1,10439779,4676300000.0
2007-03-13,5188.1,5259.9,5169.3,5251.55,7946576,3526700000.0
2007-03-14,5245.9,5245.9,5022.45,5039.05,7256259,3399700000.0000005
2007-03-15,5048.05,5141.8,4949.65,4965.0,11348382,4879800000.0
2007-03-16,4978.35,4993.55,4837.25,4893.45,11577474,4533100000.0
2007-03-19,4900.15,4992.3,4871.45,4979.45,7431345,2818900000.0
2007-03-20,5014.35,5125.8,5014.35,5084.1,11881257,4205299999.9999995
2007-03-21,5104.0,5299.1,5083.45,5288.4,12636547,5053200000.0
2007-03-22,5349.45,5568.3,5349.45,5554.75,19973980,8277600000.0
2007-03-23,5549.4,5594.75,5448.85,5518.85,15639787,6542100000.0
2007-03-26,5522.05,5593.35,5407.85,5424.3,10794483,4931800000.0
2007-03-28,5375.5,5375.5,5270.95,5290.15,9226868,3705400000.0
2007-03-29,5298.9,5309.9,5164.05,5273.2,23888272,9695700000.0
2007-03-30,5281.4,5339.75,5281.4,5308.5,11157134,4884300000.0
2007-04-02,5267.7,5267.7,4946.55,4959.65,12534959,4926600000.0
2007-04-03,4961.3,5048.6,4921.8,4995.15,14983860,4819100000.0
2007-04-04,4997.05,5108.15,4997.05,5031.75,8453344,3546500000.0
2007-04-05,5035.9,5151.25,4985.3,5129.2,10120293,3904900000.0
